,otto-epochs,otto-tpe,churn-epochs,churn-tpe,fb-comments-epochs,fb-comments-tpe,california-epochs,california-tpe,adult-epochs,adult-tpe,house-epochs,house-tpe,higgs-small-epochs,higgs-small-tpe,santander-epochs,santander-tpe,covtype-epochs,covtype-tpe,gesture-epochs,gesture-tpe
p-FR,47.0000,1.2478,28.0000,0.2717,100.0000,3.0312,90.0000,0.8855,56.0000,1.6714,71.0000,0.4818,48.0000,3.2437,18.0000,4.9658,213.0000,36.1663,26.0000,0.2850
p-FT,48.0000,1.6505,38.0000,0.3792,82.0000,3.8030,122.0000,1.1994,63.0000,2.2780,86.0000,0.5979,46.0000,4.7135,19.0000,6.1763,189.0000,31.5474,27.0000,0.5006
l-FR,55.0000,1.4195,28.0000,0.2892,113.0000,3.1727,114.0000,0.8058,61.0000,1.7659,70.0000,0.5010,44.0000,3.4178,18.0000,5.6204,184.0000,28.1982,24.0000,0.2990
l-FT,52.0000,1.3656,42.0000,0.2752,87.0000,3.0408,109.0000,0.7533,63.0000,1.6607,81.0000,0.4686,41.0000,3.2034,19.0000,5.4976,169.0000,27.5398,26.0000,0.2756
t-FR,51.0000,1.3906,27.0000,0.2813,95.0000,2.9602,105.0000,0.7580,54.0000,1.7008,68.0000,0.4831,41.0000,3.2542,18.0000,6.9772,209.0000,25.8571,25.0000,0.2880
t-FT,48.0000,1.3842,48.0000,0.2775,88.0000,2.8658,143.0000,0.7514,56.0000,1.6668,82.0000,0.4718,41.0000,3.2205,19.0000,7.0201,216.0000,25.7575,26.0000,0.2820
default,50.0000,1.0415,39.0000,0.2614,83.0000,2.4785,119.0000,0.7344,67.0000,1.6326,87.0000,0.4509,57.0000,3.1161,19.0000,4.1256,204.0000,27.2778,24.0000,0.2666
p-LRLR-a,30.0000,1.4317,25.0000,0.3189,61.0000,4.6466,97.0000,1.0675,46.0000,1.9887,66.0000,0.5580,49.0000,3.5411,19.0000,5.5496,98.0000,36.2180,23.0000,0.3126
p-LRLR-s,33.0000,1.4314,42.0000,0.5521,91.0000,5.9071,117.0000,1.0595,45.0000,1.8503,61.0000,0.5587,56.0000,3.5738,19.0000,6.7264,145.0000,35.2570,25.0000,0.3167
p-LR-a,44.0000,1.2379,26.0000,0.2850,94.0000,3.0084,118.0000,0.7660,55.0000,1.7210,79.0000,0.4932,40.0000,3.2581,19.0000,4.7619,180.0000,26.9411,29.0000,0.2828
p-LR-s,40.0000,1.2361,37.0000,0.3478,74.0000,3.4116,108.0000,0.9058,63.0000,1.6936,88.0000,0.4856,53.0000,3.2483,20.0000,5.1765,193.0000,32.3879,25.0000,0.2886
