,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_114tlr_relu,86.8971,75.0000,1.1577,0.0212
ctrl_114tlr_tanh,97.4249,84.0000,1.1526,0.0206
ctrl_30p_relu,84.1175,76.0000,1.1065,0.0200
ctrl_30p_tanh,63.8510,57.0000,1.1183,0.0201
ctrl_70lr_relu,95.0188,83.0000,1.1371,0.0204
ctrl_70lr_tanh,77.6709,67.0000,1.1558,0.0206
default,66.1368,62.0000,1.0655,0.0187
emb_111lrlr_relu_M_relu_alpha,48.0448,36.0000,1.3196,0.0295
emb_111lrlr_relu_M_relu_standard,94.8985,50.0000,1.8784,0.0389
emb_111lrlr_tanh_M_relu_alpha,47.2941,35.0000,1.3465,0.0296
emb_111lrlr_tanh_M_relu_standard,65.3092,48.0000,1.3528,0.0304
emb_114tlr_relu_alpha,103.0729,89.0000,1.1538,0.0224
emb_114tlr_relu_standard,73.5634,63.0000,1.1641,0.0225
emb_114tlr_tanh_alpha,59.0711,51.0000,1.1474,0.0220
emb_114tlr_tanh_standard,82.6917,71.0000,1.1560,0.0222
emb_128tlrlr_relu_M_relu_alpha,48.6608,37.0000,1.3134,0.0295
emb_128tlrlr_relu_M_relu_standard,100.9107,52.0000,1.9241,0.0413
emb_128tlrlr_tanh_M_relu_alpha,41.2794,30.0000,1.3618,0.0298
emb_128tlrlr_tanh_M_relu_standard,61.4639,45.0000,1.3446,0.0302
emb_30p_relu_M_relu_alpha,48.3874,37.0000,1.3004,0.0291
emb_30p_relu_M_relu_standard,65.4830,50.0000,1.2880,0.0290
emb_30p_relu_alpha,52.0964,44.0000,1.1642,0.0224
emb_30p_relu_standard,65.5411,56.0000,1.1642,0.0223
emb_30p_tanh_M_relu_alpha,45.2350,34.0000,1.3241,0.0297
emb_30p_tanh_M_relu_standard,58.5914,45.0000,1.3000,0.0293
emb_30p_tanh_alpha,45.4479,38.0000,1.1661,0.0223
emb_30p_tanh_standard,59.7428,51.0000,1.1677,0.0224
emb_70lr_relu_alpha,85.9825,74.0000,1.1604,0.0220
emb_70lr_relu_standard,76.9909,66.0000,1.1595,0.0232
emb_70lr_tanh_alpha,50.2586,43.0000,1.1478,0.0222
emb_70lr_tanh_standard,74.4931,64.0000,1.1583,0.0222
