,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_30p_relu,14.3341,84.0000,0.1706,0.0040
ctrl_30p_tanh,16.9186,99.0000,0.1697,0.0041
ctrl_69tlr_relu,14.1997,79.0000,0.1789,0.0041
ctrl_69tlr_tanh,16.6248,93.0000,0.1776,0.0043
ctrl_78lr_relu,14.9028,83.0000,0.1791,0.0041
ctrl_78lr_tanh,14.8911,84.0000,0.1763,0.0042
default,13.6008,94.0000,0.1436,0.0034
emb_30p_relu_M_relu_alpha,16.4254,65.0000,0.2492,0.0081
emb_30p_relu_M_relu_standard,21.8968,90.0000,0.2418,0.0078
emb_30p_relu_alpha,14.9280,79.0000,0.1881,0.0050
emb_30p_relu_standard,21.7501,117.0000,0.1849,0.0049
emb_30p_tanh_M_relu_alpha,12.8849,51.0000,0.2517,0.0086
emb_30p_tanh_M_relu_standard,29.7788,97.0000,0.3061,0.0093
emb_30p_tanh_alpha,13.8216,74.0000,0.1846,0.0051
emb_30p_tanh_standard,16.4961,89.0000,0.1848,0.0051
emb_69tlr_relu_alpha,16.5295,87.0000,0.1899,0.0052
emb_69tlr_relu_standard,22.0472,116.0000,0.1901,0.0052
emb_69tlr_tanh_alpha,14.9818,80.0000,0.1851,0.0049
emb_69tlr_tanh_standard,17.9719,98.0000,0.1832,0.0050
emb_71tlrlr_relu_M_relu_alpha,16.5103,65.0000,0.2511,0.0084
emb_71tlrlr_relu_M_relu_standard,40.5360,107.0000,0.3776,0.0111
emb_71tlrlr_tanh_M_relu_alpha,13.1713,50.0000,0.2589,0.0084
emb_71tlrlr_tanh_M_relu_standard,20.3676,81.0000,0.2506,0.0080
emb_78lr_relu_alpha,17.6517,92.0000,0.1905,0.0050
emb_78lr_relu_standard,22.0004,116.0000,0.1891,0.0050
emb_78lr_tanh_alpha,15.9654,86.0000,0.1855,0.0050
emb_78lr_tanh_standard,17.9000,96.0000,0.1858,0.0050
emb_93lrlr_relu_M_relu_alpha,15.7915,62.0000,0.2518,0.0082
emb_93lrlr_relu_M_relu_standard,36.7213,101.0000,0.3626,0.0108
emb_93lrlr_tanh_M_relu_alpha,15.0690,58.0000,0.2587,0.0084
emb_93lrlr_tanh_M_relu_standard,21.9423,86.0000,0.2535,0.0082
