,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_114lr_relu,5.4047,32.0000,0.1640,0.0035
ctrl_114lr_tanh,4.5063,27.0000,0.1611,0.0034
ctrl_30p_relu,4.4270,33.0000,0.1318,0.0030
ctrl_30p_tanh,3.9357,29.0000,0.1345,0.0031
ctrl_76tlr_relu,4.7483,31.0000,0.1515,0.0033
ctrl_76tlr_tanh,4.5458,29.0000,0.1528,0.0033
default,3.5615,31.0000,0.1142,0.0026
emb_114lr_relu_alpha,10.7496,67.0000,0.1600,0.0039
emb_114lr_relu_standard,9.9154,60.0000,0.1640,0.0038
emb_114lr_tanh_alpha,9.6326,59.0000,0.1624,0.0038
emb_114lr_tanh_standard,6.2133,37.0000,0.1652,0.0040
emb_114lrlr_relu_M_relu_alpha,5.4876,27.0000,0.1996,0.0054
emb_114lrlr_relu_M_relu_standard,15.7273,54.0000,0.2861,0.0072
emb_114lrlr_tanh_M_relu_alpha,5.5290,26.0000,0.2072,0.0054
emb_114lrlr_tanh_M_relu_standard,10.0581,49.0000,0.2025,0.0055
emb_121tlrlr_relu_M_relu_alpha,5.6506,27.0000,0.2020,0.0054
emb_121tlrlr_relu_M_relu_standard,17.1288,57.0000,0.2976,0.0076
emb_121tlrlr_tanh_M_relu_alpha,6.0283,28.0000,0.2131,0.0054
emb_121tlrlr_tanh_M_relu_standard,10.4518,50.0000,0.2057,0.0055
emb_30p_relu_M_relu_alpha,5.6689,33.0000,0.1695,0.0052
emb_30p_relu_M_relu_standard,6.8187,41.0000,0.1631,0.0050
emb_30p_relu_alpha,7.4641,54.0000,0.1374,0.0035
emb_30p_relu_standard,10.7778,78.0000,0.1374,0.0036
emb_30p_tanh_M_relu_alpha,4.9061,28.0000,0.1724,0.0053
emb_30p_tanh_M_relu_standard,6.9778,41.0000,0.1695,0.0050
emb_30p_tanh_alpha,8.5408,61.0000,0.1398,0.0037
emb_30p_tanh_standard,15.0466,109.0000,0.1372,0.0037
emb_76tlr_relu_alpha,11.5076,77.0000,0.1485,0.0037
emb_76tlr_relu_standard,9.4891,62.0000,0.1525,0.0037
emb_76tlr_tanh_alpha,9.8550,66.0000,0.1488,0.0036
emb_76tlr_tanh_standard,11.4809,75.0000,0.1516,0.0037
