,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
ctrl_30p_relu,0.2395,0.0021,0.8520,0.0034,0.9113,0.0010,0.9113,0.0010
ctrl_30p_tanh,0.2369,0.0020,0.8549,0.0036,0.9125,0.0008,0.9125,0.0008
ctrl_59tlr_relu,0.2389,0.0021,0.8521,0.0040,0.9119,0.0007,0.9119,0.0007
ctrl_59tlr_tanh,0.2373,0.0015,0.8551,0.0037,0.9122,0.0012,0.9122,0.0012
ctrl_95lr_relu,0.2373,0.0025,0.8552,0.0031,0.9123,0.0010,0.9123,0.0010
ctrl_95lr_tanh,0.2366,0.0021,0.8550,0.0042,0.9124,0.0008,0.9124,0.0008
default,0.2351,0.0026,0.8575,0.0041,0.9133,0.0006,0.9133,0.0006
emb_111lrlr_relu_M_relu_alpha,0.2115,0.0041,0.8956,0.0040,0.9227,0.0012,0.9227,0.0012
emb_111lrlr_relu_M_relu_standard,0.2265,0.0047,0.8963,0.0039,0.9213,0.0011,0.9213,0.0011
emb_111lrlr_tanh_M_relu_alpha,0.2050,0.0025,0.8978,0.0039,0.9240,0.0005,0.9240,0.0005
emb_111lrlr_tanh_M_relu_standard,0.2162,0.0020,0.8911,0.0042,0.9217,0.0010,0.9217,0.0010
emb_30p_relu_M_relu_alpha,0.2061,0.0022,0.8957,0.0033,0.9231,0.0011,0.9231,0.0011
emb_30p_relu_M_relu_standard,0.3482,0.0421,0.8932,0.0032,0.8600,0.0238,0.8600,0.0238
emb_30p_relu_alpha,0.2203,0.0034,0.8815,0.0043,0.9186,0.0003,0.9186,0.0003
emb_30p_relu_standard,0.3545,0.0317,0.8927,0.0039,0.8602,0.0287,0.8602,0.0287
emb_30p_tanh_M_relu_alpha,0.2061,0.0026,0.8948,0.0042,0.9232,0.0011,0.9232,0.0011
emb_30p_tanh_M_relu_standard,0.2482,0.0202,0.8958,0.0038,0.9088,0.0106,0.9088,0.0106
emb_30p_tanh_alpha,0.2090,0.0016,0.8926,0.0031,0.9220,0.0004,0.9220,0.0004
emb_30p_tanh_standard,0.3242,0.0104,0.8601,0.0035,0.8774,0.0090,0.8774,0.0090
emb_59tlr_relu_alpha,0.2262,0.0046,0.8847,0.0033,0.9195,0.0005,0.9195,0.0005
emb_59tlr_relu_standard,0.3491,0.0346,0.8936,0.0043,0.8608,0.0223,0.8608,0.0223
emb_59tlr_tanh_alpha,0.2084,0.0022,0.8933,0.0038,0.9217,0.0008,0.9217,0.0008
emb_59tlr_tanh_standard,0.2720,0.0271,0.8534,0.0047,0.8943,0.0105,0.8943,0.0105
emb_91tlrlr_relu_M_relu_alpha,0.2091,0.0016,0.8956,0.0030,0.9228,0.0012,0.9228,0.0012
emb_91tlrlr_relu_M_relu_standard,0.2275,0.0034,0.8963,0.0037,0.9200,0.0007,0.9200,0.0007
emb_91tlrlr_tanh_M_relu_alpha,0.2040,0.0019,0.8976,0.0034,0.9240,0.0009,0.9240,0.0009
emb_91tlrlr_tanh_M_relu_standard,0.2154,0.0044,0.8909,0.0037,0.9220,0.0008,0.9220,0.0008
emb_95lr_relu_alpha,0.2462,0.0185,0.8848,0.0036,0.9185,0.0014,0.9185,0.0014
emb_95lr_relu_standard,0.2732,0.0434,0.8737,0.0096,0.8906,0.0178,0.8906,0.0178
emb_95lr_tanh_alpha,0.2128,0.0099,0.8944,0.0034,0.9213,0.0022,0.9213,0.0022
emb_95lr_tanh_standard,0.2877,0.0313,0.8556,0.0041,0.8929,0.0081,0.8929,0.0081
