,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_105lr_relu,107.9091,61.0000,1.7659,0.0465
ctrl_105lr_tanh,106.0104,63.0000,1.6607,0.0426
ctrl_124tlr_relu,92.7449,54.0000,1.7008,0.0438
ctrl_124tlr_tanh,94.0994,56.0000,1.6668,0.0426
ctrl_30p_relu,94.6314,56.0000,1.6714,0.0439
ctrl_30p_tanh,143.9529,63.0000,2.2780,0.0467
default,109.7140,67.0000,1.6326,0.0433
emb_105lr_relu_M_relu_alpha,77.4438,36.0000,2.1085,0.0544
emb_105lr_relu_M_relu_standard,188.3398,69.0000,2.7120,0.0602
emb_105lr_relu_alpha,146.7394,85.0000,1.7101,0.0457
emb_105lr_relu_standard,120.0043,69.0000,1.7360,0.0459
emb_105lr_tanh_M_relu_alpha,86.8604,37.0000,2.3046,0.0577
emb_105lr_tanh_M_relu_standard,106.9631,55.0000,1.9219,0.0547
emb_105lr_tanh_alpha,46.7490,27.0000,1.6946,0.0445
emb_105lr_tanh_standard,83.1632,48.0000,1.7284,0.0460
emb_124tlr_relu_M_relu_alpha,105.1263,50.0000,2.0874,0.0587
emb_124tlr_relu_M_relu_standard,146.9824,60.0000,2.4438,0.0583
emb_124tlr_relu_alpha,164.9241,96.0000,1.7138,0.0454
emb_124tlr_relu_standard,79.0619,45.0000,1.7236,0.0453
emb_124tlr_tanh_M_relu_alpha,74.4173,39.0000,1.8785,0.0530
emb_124tlr_tanh_M_relu_standard,156.2817,60.0000,2.5915,0.0675
emb_124tlr_tanh_alpha,47.8353,27.0000,1.7141,0.0452
emb_124tlr_tanh_standard,85.4315,49.0000,1.7183,0.0452
emb_30p_relu_M_relu_alpha,92.4982,46.0000,1.9887,0.0532
emb_30p_relu_M_relu_standard,84.8764,45.0000,1.8503,0.0530
emb_30p_relu_alpha,94.9533,55.0000,1.7210,0.0460
emb_30p_relu_standard,107.0198,63.0000,1.6936,0.0455
emb_30p_tanh_M_relu_alpha,93.3194,50.0000,1.8589,0.0534
emb_30p_tanh_M_relu_standard,152.6690,59.0000,2.5796,0.0615
emb_30p_tanh_alpha,58.8879,34.0000,1.6920,0.0452
emb_30p_tanh_standard,115.1953,67.0000,1.7183,0.0452
