,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_128lr_relu,92.5720,114.0000,0.8058,0.0225
ctrl_128lr_tanh,82.6777,109.0000,0.7533,0.0207
ctrl_30p_relu,80.0479,90.0000,0.8855,0.0225
ctrl_30p_tanh,146.8033,122.0000,1.1994,0.0248
ctrl_48tlr_relu,80.0487,105.0000,0.7580,0.0204
ctrl_48tlr_tanh,107.4809,143.0000,0.7514,0.0208
default,87.7753,119.0000,0.7344,0.0202
emb_128lr_relu_M_relu_alpha,64.5009,68.0000,0.9397,0.0272
emb_128lr_relu_M_relu_standard,106.6862,84.0000,1.2605,0.0383
emb_128lr_relu_alpha,97.3488,126.0000,0.7702,0.0214
emb_128lr_relu_standard,81.1247,102.0000,0.7885,0.0222
emb_128lr_tanh_M_relu_alpha,74.0594,65.0000,1.1345,0.0279
emb_128lr_tanh_M_relu_standard,88.8805,102.0000,0.8693,0.0255
emb_128lr_tanh_alpha,53.7302,70.0000,0.7667,0.0213
emb_128lr_tanh_standard,83.3336,107.0000,0.7785,0.0221
emb_30p_relu_M_relu_alpha,104.3614,97.0000,1.0675,0.0280
emb_30p_relu_M_relu_standard,124.7689,117.0000,1.0595,0.0276
emb_30p_relu_alpha,90.5753,118.0000,0.7660,0.0218
emb_30p_relu_standard,97.8236,108.0000,0.9058,0.0246
emb_30p_tanh_M_relu_alpha,61.0998,70.0000,0.8719,0.0267
emb_30p_tanh_M_relu_standard,136.7347,114.0000,1.1969,0.0305
emb_30p_tanh_alpha,65.5103,83.0000,0.7859,0.0223
emb_30p_tanh_standard,90.3927,114.0000,0.7913,0.0219
emb_48tlr_relu_M_relu_alpha,83.4257,83.0000,1.0008,0.0267
emb_48tlr_relu_M_relu_standard,68.6942,80.0000,0.8485,0.0248
emb_48tlr_relu_alpha,93.6319,120.0000,0.7751,0.0217
emb_48tlr_relu_standard,82.2976,105.0000,0.7782,0.0220
emb_48tlr_tanh_M_relu_alpha,77.3727,70.0000,1.0916,0.0279
emb_48tlr_tanh_M_relu_standard,152.4603,101.0000,1.4982,0.0326
emb_48tlr_tanh_alpha,48.4892,64.0000,0.7576,0.0214
emb_48tlr_tanh_standard,76.6822,99.0000,0.7705,0.0218
