,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
ctrl_126tlr_relu,0.3469,0.0079,0.8545,0.0057,0.8551,0.0066,0.8551,0.0066
ctrl_126tlr_tanh,0.3358,0.0062,0.8639,0.0052,0.8633,0.0051,0.8633,0.0051
ctrl_30p_relu,0.3476,0.0051,0.8546,0.0050,0.8552,0.0048,0.8552,0.0048
ctrl_30p_tanh,0.3377,0.0085,0.8630,0.0068,0.8594,0.0058,0.8594,0.0058
ctrl_53lr_relu,0.3488,0.0076,0.8529,0.0069,0.8554,0.0047,0.8554,0.0047
ctrl_53lr_tanh,0.3354,0.0062,0.8640,0.0052,0.8626,0.0035,0.8626,0.0035
default,0.3393,0.0062,0.8610,0.0048,0.8610,0.0035,0.8610,0.0035
emb_126tlr_relu_M_relu_alpha,0.3470,0.0080,0.8519,0.0072,0.8570,0.0054,0.8570,0.0054
emb_126tlr_relu_M_relu_standard,0.3332,0.0055,0.8658,0.0042,0.8640,0.0053,0.8640,0.0053
emb_126tlr_relu_alpha,0.3483,0.0057,0.8511,0.0060,0.8550,0.0057,0.8550,0.0057
emb_126tlr_relu_standard,0.3353,0.0054,0.8634,0.0053,0.8648,0.0048,0.8648,0.0048
emb_126tlr_tanh_M_relu_alpha,0.3482,0.0056,0.8512,0.0050,0.8587,0.0051,0.8587,0.0051
emb_126tlr_tanh_M_relu_standard,0.3361,0.0084,0.8652,0.0068,0.8632,0.0068,0.8632,0.0068
emb_126tlr_tanh_alpha,0.3510,0.0056,0.8484,0.0054,0.8589,0.0062,0.8589,0.0062
emb_126tlr_tanh_standard,0.3480,0.0053,0.8523,0.0055,0.8552,0.0069,0.8552,0.0069
emb_30p_relu_M_relu_alpha,0.3460,0.0070,0.8531,0.0074,0.8578,0.0061,0.8578,0.0061
emb_30p_relu_M_relu_standard,0.3372,0.0098,0.8644,0.0070,0.8630,0.0040,0.8630,0.0040
emb_30p_relu_alpha,0.3496,0.0072,0.8501,0.0061,0.8567,0.0080,0.8567,0.0080
emb_30p_relu_standard,0.3390,0.0103,0.8623,0.0082,0.8636,0.0061,0.8636,0.0061
emb_30p_tanh_M_relu_alpha,0.3375,0.0076,0.8622,0.0062,0.8631,0.0057,0.8631,0.0057
emb_30p_tanh_M_relu_standard,0.3341,0.0092,0.8659,0.0072,0.8643,0.0061,0.8643,0.0061
emb_30p_tanh_alpha,0.3524,0.0061,0.8484,0.0049,0.8552,0.0055,0.8552,0.0055
emb_30p_tanh_standard,0.3379,0.0074,0.8627,0.0072,0.8602,0.0044,0.8602,0.0044
emb_53lr_relu_M_relu_alpha,0.3460,0.0066,0.8530,0.0066,0.8574,0.0057,0.8574,0.0057
emb_53lr_relu_M_relu_standard,0.3323,0.0080,0.8675,0.0068,0.8628,0.0070,0.8628,0.0070
emb_53lr_relu_alpha,0.3487,0.0047,0.8500,0.0066,0.8569,0.0047,0.8569,0.0047
emb_53lr_relu_standard,0.3356,0.0088,0.8635,0.0081,0.8626,0.0070,0.8626,0.0070
emb_53lr_tanh_M_relu_alpha,0.3405,0.0105,0.8593,0.0090,0.8612,0.0068,0.8612,0.0068
emb_53lr_tanh_M_relu_standard,0.3351,0.0091,0.8647,0.0091,0.8625,0.0044,0.8625,0.0044
emb_53lr_tanh_alpha,0.3519,0.0079,0.8481,0.0076,0.8583,0.0052,0.8583,0.0052
emb_53lr_tanh_standard,0.3460,0.0071,0.8531,0.0073,0.8578,0.0067,0.8578,0.0067
