,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
ctrl_20tlr_relu,0.9977,0.0003,0.9670,0.0008,0.9670,0.0008,1.2056,0.0012
ctrl_20tlr_tanh,0.9975,0.0002,0.9676,0.0007,0.9676,0.0007,1.2045,0.0010
ctrl_30p_relu,0.9976,0.0003,0.9679,0.0006,0.9680,0.0006,1.2042,0.0007
ctrl_30p_tanh,0.9975,0.0003,0.9671,0.0007,0.9671,0.0007,1.2056,0.0013
ctrl_84lr_relu,0.9976,0.0004,0.9681,0.0013,0.9681,0.0013,1.2038,0.0025
ctrl_84lr_tanh,0.9977,0.0001,0.9671,0.0007,0.9671,0.0007,1.2058,0.0010
default,0.9978,0.0002,0.9653,0.0008,0.9654,0.0008,1.2090,0.0012
emb_20tlr_relu_M_relu_alpha,0.9979,0.0003,0.9709,0.0008,0.9710,0.0008,1.1996,0.0012
emb_20tlr_relu_M_relu_standard,0.9980,0.0001,0.9697,0.0005,0.9697,0.0005,1.2019,0.0003
emb_20tlr_relu_alpha,0.9976,0.0003,0.9687,0.0005,0.9687,0.0005,1.2030,0.0008
emb_20tlr_relu_standard,0.9980,0.0003,0.9691,0.0006,0.9691,0.0006,1.2026,0.0007
emb_20tlr_tanh_M_relu_alpha,0.9981,0.0003,0.9723,0.0006,0.9723,0.0006,1.1974,0.0008
emb_20tlr_tanh_M_relu_standard,0.9979,0.0003,0.9676,0.0015,0.9677,0.0015,1.2053,0.0025
emb_20tlr_tanh_alpha,0.9978,0.0004,0.9709,0.0008,0.9709,0.0008,1.1990,0.0014
emb_20tlr_tanh_standard,0.9977,0.0003,0.9662,0.0006,0.9663,0.0006,1.2071,0.0009
emb_30p_relu_M_relu_alpha,0.9978,0.0003,0.9709,0.0011,0.9710,0.0011,1.1995,0.0013
emb_30p_relu_M_relu_standard,0.9978,0.0002,0.9689,0.0006,0.9689,0.0006,1.2035,0.0008
emb_30p_relu_alpha,0.9976,0.0002,0.9681,0.0010,0.9682,0.0009,1.2040,0.0014
emb_30p_relu_standard,0.9980,0.0001,0.9680,0.0010,0.9680,0.0010,1.2043,0.0020
emb_30p_tanh_M_relu_alpha,0.9983,0.0002,0.9736,0.0006,0.9736,0.0006,1.1955,0.0008
emb_30p_tanh_M_relu_standard,0.9978,0.0002,0.9673,0.0004,0.9674,0.0004,1.2055,0.0009
emb_30p_tanh_alpha,0.9974,0.0007,0.9703,0.0019,0.9703,0.0019,1.1992,0.0024
emb_30p_tanh_standard,0.9977,0.0003,0.9672,0.0004,0.9672,0.0004,1.2053,0.0005
emb_84lr_relu_M_relu_alpha,0.9979,0.0002,0.9710,0.0006,0.9710,0.0006,1.1990,0.0003
emb_84lr_relu_M_relu_standard,0.9980,0.0003,0.9699,0.0009,0.9699,0.0009,1.2013,0.0012
emb_84lr_relu_alpha,0.9974,0.0004,0.9667,0.0006,0.9667,0.0006,1.2079,0.0011
emb_84lr_relu_standard,0.9979,0.0002,0.9689,0.0010,0.9690,0.0010,1.2031,0.0016
emb_84lr_tanh_M_relu_alpha,0.9980,0.0002,0.9736,0.0003,0.9737,0.0003,1.1949,0.0003
emb_84lr_tanh_M_relu_standard,0.9980,0.0001,0.9680,0.0012,0.9680,0.0012,1.2046,0.0017
emb_84lr_tanh_alpha,0.9977,0.0003,0.9710,0.0008,0.9710,0.0008,1.1984,0.0011
emb_84lr_tanh_standard,0.9976,0.0002,0.9674,0.0011,0.9674,0.0011,1.2047,0.0015
