,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_20tlr_relu,5428.9325,209.0000,25.8571,0.5728
ctrl_20tlr_tanh,5581.1520,216.0000,25.7575,0.5657
ctrl_30p_relu,7738.1432,213.0000,36.1663,0.6712
ctrl_30p_tanh,5982.5011,189.0000,31.5474,0.6159
ctrl_84lr_relu,5198.4580,184.0000,28.1982,0.6108
ctrl_84lr_tanh,4676.0299,169.0000,27.5398,0.5909
default,5570.0639,204.0000,27.2778,0.5804
emb_20tlr_relu_M_relu_alpha,4017.3484,121.0000,33.0313,0.7296
emb_20tlr_relu_M_relu_standard,4822.0952,158.0000,30.4369,0.6833
emb_20tlr_relu_alpha,4445.3310,169.0000,26.2802,0.5940
emb_20tlr_relu_standard,5645.3678,214.0000,26.3458,0.6062
emb_20tlr_tanh_M_relu_alpha,3720.5030,111.0000,33.3078,0.7710
emb_20tlr_tanh_M_relu_standard,6260.0703,195.0000,31.9593,0.7474
emb_20tlr_tanh_alpha,2704.6601,105.0000,25.6854,0.5871
emb_20tlr_tanh_standard,5960.9208,227.0000,26.1579,0.5996
emb_30p_relu_M_relu_alpha,3564.5174,98.0000,36.2180,0.8130
emb_30p_relu_M_relu_standard,5117.4522,145.0000,35.2570,0.7888
emb_30p_relu_alpha,4876.1764,180.0000,26.9411,0.6143
emb_30p_relu_standard,6261.0970,193.0000,32.3879,0.6661
emb_30p_tanh_M_relu_alpha,3101.1880,106.0000,29.2290,0.7007
emb_30p_tanh_M_relu_standard,6859.5078,201.0000,33.9920,0.7354
emb_30p_tanh_alpha,2767.7803,103.0000,26.7731,0.6080
emb_30p_tanh_standard,6694.7858,240.0000,27.8898,0.6215
emb_84lr_relu_M_relu_alpha,2505.9736,72.0000,34.4921,0.7801
emb_84lr_relu_M_relu_standard,6503.2748,188.0000,34.4681,0.7898
emb_84lr_relu_alpha,6448.9065,235.0000,27.4137,0.6030
emb_84lr_relu_standard,6013.3442,217.0000,27.6704,0.5983
emb_84lr_tanh_M_relu_alpha,3174.3124,89.0000,35.4210,0.7218
emb_84lr_tanh_M_relu_standard,6912.1008,203.0000,34.0367,0.7995
emb_84lr_tanh_alpha,2125.2788,78.0000,27.1585,0.5949
emb_84lr_tanh_standard,6213.7178,224.0000,27.6951,0.6104
