,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
ctrl_28tlr_relu,0.0104,0.0004,0.1020,0.0022,0.7597,0.0071
ctrl_28tlr_tanh,0.0106,0.0004,0.1027,0.0017,0.7561,0.0036
ctrl_30p_relu,0.0103,0.0004,0.1013,0.0020,0.7629,0.0076
ctrl_30p_tanh,0.0107,0.0004,0.1035,0.0018,0.7523,0.0048
ctrl_55lr_relu,0.0101,0.0004,0.1006,0.0020,0.7658,0.0067
ctrl_55lr_tanh,0.0106,0.0005,0.1028,0.0025,0.7560,0.0061
default,0.0107,0.0003,0.1034,0.0016,0.7526,0.0095
emb_28tlr_relu_M_relu_alpha,0.0089,0.0005,0.0943,0.0024,0.7940,0.0154
emb_28tlr_relu_M_relu_standard,0.0095,0.0004,0.0973,0.0019,0.7808,0.0123
emb_28tlr_relu_alpha,0.0104,0.0004,0.1017,0.0020,0.7607,0.0079
emb_28tlr_relu_standard,0.0093,0.0003,0.0963,0.0013,0.7855,0.0052
emb_28tlr_tanh_M_relu_alpha,0.0087,0.0002,0.0932,0.0011,0.7990,0.0069
emb_28tlr_tanh_M_relu_standard,0.0093,0.0006,0.0966,0.0029,0.7844,0.0104
emb_28tlr_tanh_alpha,0.0096,0.0002,0.0977,0.0012,0.7791,0.0042
emb_28tlr_tanh_standard,0.0092,0.0003,0.0961,0.0014,0.7866,0.0056
emb_30p_relu_M_relu_alpha,0.0086,0.0004,0.0929,0.0021,0.8005,0.0098
emb_30p_relu_M_relu_standard,0.0090,0.0003,0.0947,0.0015,0.7925,0.0100
emb_30p_relu_alpha,0.0102,0.0003,0.1012,0.0014,0.7634,0.0057
emb_30p_relu_standard,0.0092,0.0003,0.0960,0.0016,0.7868,0.0065
emb_30p_tanh_M_relu_alpha,0.0087,0.0002,0.0935,0.0012,0.7979,0.0075
emb_30p_tanh_M_relu_standard,0.0091,0.0004,0.0955,0.0022,0.7893,0.0070
emb_30p_tanh_alpha,0.0095,0.0003,0.0973,0.0013,0.7811,0.0050
emb_30p_tanh_standard,0.0093,0.0002,0.0964,0.0011,0.7853,0.0056
emb_55lr_relu_M_relu_alpha,0.0086,0.0002,0.0927,0.0010,0.8013,0.0057
emb_55lr_relu_M_relu_standard,0.0093,0.0003,0.0965,0.0018,0.7845,0.0116
emb_55lr_relu_alpha,0.0105,0.0004,0.1025,0.0019,0.7570,0.0084
emb_55lr_relu_standard,0.0091,0.0003,0.0952,0.0016,0.7906,0.0076
emb_55lr_tanh_M_relu_alpha,0.0086,0.0002,0.0930,0.0010,0.8002,0.0064
emb_55lr_tanh_M_relu_standard,0.0090,0.0003,0.0948,0.0015,0.7921,0.0054
emb_55lr_tanh_alpha,0.0092,0.0002,0.0958,0.0009,0.7877,0.0073
emb_55lr_tanh_standard,0.0093,0.0004,0.0963,0.0018,0.7856,0.0047
