,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_28tlr_relu,281.3919,95.0000,2.9602,0.0650
ctrl_28tlr_tanh,253.6151,88.0000,2.8658,0.0639
ctrl_30p_relu,305.6106,100.0000,3.0312,0.0653
ctrl_30p_tanh,314.0422,82.0000,3.8030,0.0724
ctrl_55lr_relu,359.4812,113.0000,3.1727,0.0698
ctrl_55lr_tanh,265.7002,87.0000,3.0408,0.0669
default,205.8553,83.0000,2.4785,0.0563
emb_28tlr_relu_M_relu_alpha,258.7100,66.0000,3.8954,0.1056
emb_28tlr_relu_M_relu_standard,293.4342,81.0000,3.5953,0.0990
emb_28tlr_relu_alpha,238.5632,79.0000,3.0116,0.0714
emb_28tlr_relu_standard,243.2717,80.0000,3.0282,0.0703
emb_28tlr_tanh_M_relu_alpha,341.5008,76.0000,4.4925,0.1112
emb_28tlr_tanh_M_relu_standard,360.1519,67.0000,5.3711,0.1168
emb_28tlr_tanh_alpha,160.5393,54.0000,2.9332,0.0697
emb_28tlr_tanh_standard,199.7506,66.0000,3.0005,0.0710
emb_30p_relu_M_relu_alpha,286.2868,61.0000,4.6466,0.1081
emb_30p_relu_M_relu_standard,539.7812,91.0000,5.9071,0.1249
emb_30p_relu_alpha,283.0907,94.0000,3.0084,0.0718
emb_30p_relu_standard,253.3257,74.0000,3.4116,0.0761
emb_30p_tanh_M_relu_alpha,235.2406,62.0000,3.7691,0.1060
emb_30p_tanh_M_relu_standard,345.2676,77.0000,4.4576,0.1105
emb_30p_tanh_alpha,200.0906,66.0000,2.9984,0.0713
emb_30p_tanh_standard,220.2754,73.0000,3.0119,0.0749
emb_55lr_relu_M_relu_alpha,280.8703,63.0000,4.3987,0.1159
emb_55lr_relu_M_relu_standard,353.9488,72.0000,4.9041,0.1096
emb_55lr_relu_alpha,255.9665,80.0000,3.1610,0.0715
emb_55lr_relu_standard,264.3748,82.0000,3.1892,0.0721
emb_55lr_tanh_M_relu_alpha,283.0804,60.0000,4.6550,0.1104
emb_55lr_tanh_M_relu_standard,296.7416,77.0000,3.8232,0.1000
emb_55lr_tanh_alpha,202.6286,65.0000,3.1034,0.0693
emb_55lr_tanh_standard,224.4533,70.0000,3.1660,0.0712
