,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
ctrl_12lr_relu,0.8141,0.0096,0.5817,0.0095,0.5624,0.0156,1.3667,0.0120
ctrl_12lr_tanh,0.8115,0.0164,0.5629,0.0313,0.5452,0.0327,1.3755,0.0199
ctrl_30p_relu,0.8153,0.0036,0.5749,0.0159,0.5625,0.0115,1.3658,0.0232
ctrl_30p_tanh,0.8162,0.0081,0.5722,0.0094,0.5578,0.0158,1.3671,0.0056
ctrl_57tlr_relu,0.8146,0.0135,0.5592,0.0148,0.5530,0.0133,1.3840,0.0158
ctrl_57tlr_tanh,0.8060,0.0205,0.5579,0.0243,0.5453,0.0226,1.3804,0.0177
default,0.8273,0.0074,0.5873,0.0125,0.5780,0.0100,1.3748,0.0106
emb_12lr_relu_M_relu_alpha,0.8185,0.0130,0.5691,0.0264,0.5624,0.0175,1.3807,0.0109
emb_12lr_relu_M_relu_standard,0.7786,0.0336,0.5031,0.0569,0.4801,0.0723,1.4111,0.0264
emb_12lr_relu_alpha,0.8105,0.0137,0.5588,0.0375,0.5451,0.0377,1.3854,0.0199
emb_12lr_relu_standard,0.8078,0.0164,0.5723,0.0146,0.5576,0.0113,1.3765,0.0151
emb_12lr_tanh_M_relu_alpha,0.8176,0.0149,0.5815,0.0215,0.5642,0.0259,1.3714,0.0252
emb_12lr_tanh_M_relu_standard,0.7635,0.0211,0.4564,0.0782,0.4408,0.0662,1.4380,0.0468
emb_12lr_tanh_alpha,0.8040,0.0178,0.5389,0.0411,0.5240,0.0369,1.3976,0.0255
emb_12lr_tanh_standard,0.8135,0.0091,0.5622,0.0312,0.5521,0.0241,1.3817,0.0130
emb_30p_relu_M_relu_alpha,0.8015,0.0200,0.5362,0.0611,0.5198,0.0644,1.3987,0.0383
emb_30p_relu_M_relu_standard,0.7239,0.0318,0.3990,0.0753,0.3639,0.0781,1.4850,0.0452
emb_30p_relu_alpha,0.7900,0.0146,0.5194,0.0398,0.5064,0.0289,1.4006,0.0237
emb_30p_relu_standard,0.8092,0.0081,0.5600,0.0215,0.5503,0.0184,1.3826,0.0164
emb_30p_tanh_M_relu_alpha,0.8146,0.0092,0.5756,0.0102,0.5556,0.0125,1.3747,0.0228
emb_30p_tanh_M_relu_standard,0.7520,0.0249,0.4459,0.0384,0.4376,0.0266,1.4468,0.0175
emb_30p_tanh_alpha,0.8180,0.0054,0.5591,0.0180,0.5536,0.0146,1.3869,0.0172
emb_30p_tanh_standard,0.8152,0.0164,0.5398,0.0601,0.5377,0.0537,1.4033,0.0322
emb_57tlr_relu_M_relu_alpha,0.7977,0.0071,0.5149,0.0498,0.5068,0.0504,1.4038,0.0291
emb_57tlr_relu_M_relu_standard,0.6742,0.0855,0.3449,0.1015,0.3118,0.1168,1.5295,0.0885
emb_57tlr_relu_alpha,0.7885,0.0216,0.5102,0.0570,0.4940,0.0578,1.4140,0.0285
emb_57tlr_relu_standard,0.8121,0.0183,0.5528,0.0263,0.5424,0.0293,1.3850,0.0216
emb_57tlr_tanh_M_relu_alpha,0.8188,0.0124,0.5692,0.0311,0.5577,0.0260,1.3751,0.0161
emb_57tlr_tanh_M_relu_standard,0.7296,0.0452,0.4665,0.0675,0.4283,0.0893,1.4415,0.0467
emb_57tlr_tanh_alpha,0.8098,0.0105,0.5500,0.0212,0.5313,0.0262,1.3953,0.0180
emb_57tlr_tanh_standard,0.7973,0.0254,0.5262,0.0488,0.5098,0.0497,1.4016,0.0345
