,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
ctrl_30p_relu,0.5471,0.0058,0.7940,0.0048,0.7187,0.0039,0.7187,0.0039
ctrl_30p_tanh,0.5515,0.0040,0.7907,0.0044,0.7149,0.0043,0.7149,0.0043
ctrl_62lr_relu,0.5533,0.0050,0.7887,0.0041,0.7142,0.0050,0.7142,0.0050
ctrl_62lr_tanh,0.5536,0.0041,0.7884,0.0047,0.7135,0.0052,0.7135,0.0052
ctrl_65tlr_relu,0.5544,0.0048,0.7870,0.0045,0.7128,0.0039,0.7128,0.0039
ctrl_65tlr_tanh,0.5539,0.0027,0.7884,0.0027,0.7131,0.0027,0.7131,0.0027
default,0.5249,0.0013,0.8129,0.0016,0.7319,0.0027,0.7319,0.0027
emb_30p_relu_M_relu_alpha,0.5257,0.0028,0.8117,0.0022,0.7311,0.0025,0.7311,0.0025
emb_30p_relu_M_relu_standard,0.5185,0.0030,0.8178,0.0030,0.7373,0.0042,0.7373,0.0042
emb_30p_relu_alpha,0.5610,0.0031,0.7794,0.0036,0.7058,0.0039,0.7058,0.0039
emb_30p_relu_standard,0.5205,0.0025,0.8160,0.0024,0.7346,0.0029,0.7346,0.0029
emb_30p_tanh_M_relu_alpha,0.5226,0.0028,0.8146,0.0025,0.7332,0.0027,0.7332,0.0027
emb_30p_tanh_M_relu_standard,0.5190,0.0031,0.8179,0.0030,0.7362,0.0037,0.7362,0.0037
emb_30p_tanh_alpha,0.5395,0.0039,0.7997,0.0033,0.7204,0.0039,0.7204,0.0039
emb_30p_tanh_standard,0.5192,0.0021,0.8175,0.0022,0.7361,0.0030,0.7361,0.0030
emb_62lr_relu_M_relu_alpha,0.5248,0.0040,0.8128,0.0034,0.7316,0.0031,0.7316,0.0031
emb_62lr_relu_M_relu_standard,0.5178,0.0029,0.8185,0.0024,0.7373,0.0022,0.7373,0.0022
emb_62lr_relu_alpha,0.5651,0.0033,0.7757,0.0039,0.7048,0.0048,0.7048,0.0048
emb_62lr_relu_standard,0.5197,0.0024,0.8168,0.0024,0.7359,0.0031,0.7359,0.0031
emb_62lr_tanh_M_relu_alpha,0.5267,0.0026,0.8107,0.0023,0.7293,0.0031,0.7293,0.0031
emb_62lr_tanh_M_relu_standard,0.5194,0.0032,0.8169,0.0033,0.7363,0.0042,0.7363,0.0042
emb_62lr_tanh_alpha,0.5403,0.0033,0.7991,0.0032,0.7194,0.0030,0.7194,0.0030
emb_62lr_tanh_standard,0.5187,0.0022,0.8176,0.0023,0.7356,0.0030,0.7356,0.0030
emb_65tlr_relu_M_relu_alpha,0.5235,0.0025,0.8136,0.0024,0.7332,0.0035,0.7332,0.0035
emb_65tlr_relu_M_relu_standard,0.5179,0.0027,0.8181,0.0026,0.7373,0.0030,0.7373,0.0030
emb_65tlr_relu_alpha,0.5660,0.0032,0.7751,0.0028,0.7030,0.0032,0.7030,0.0032
emb_65tlr_relu_standard,0.5203,0.0030,0.8165,0.0024,0.7361,0.0021,0.7361,0.0021
emb_65tlr_tanh_M_relu_alpha,0.5270,0.0026,0.8108,0.0027,0.7291,0.0037,0.7291,0.0037
emb_65tlr_tanh_M_relu_standard,0.5195,0.0023,0.8171,0.0028,0.7363,0.0039,0.7363,0.0039
emb_65tlr_tanh_alpha,0.5399,0.0031,0.7994,0.0031,0.7201,0.0037,0.7201,0.0037
emb_65tlr_tanh_standard,0.5193,0.0026,0.8170,0.0026,0.7361,0.0039,0.7361,0.0039
