,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_30p_relu,156.7840,48.0000,3.2437,0.0854
ctrl_30p_tanh,221.0395,46.0000,4.7135,0.0931
ctrl_62lr_relu,152.0711,44.0000,3.4178,0.0918
ctrl_62lr_tanh,132.7921,41.0000,3.2034,0.0836
ctrl_65tlr_relu,135.9374,41.0000,3.2542,0.0858
ctrl_65tlr_tanh,134.0165,41.0000,3.2205,0.0845
default,178.5486,57.0000,3.1161,0.0820
emb_30p_relu_M_relu_alpha,176.8267,49.0000,3.5411,0.1013
emb_30p_relu_M_relu_standard,202.4832,56.0000,3.5738,0.1039
emb_30p_relu_alpha,133.4922,40.0000,3.2581,0.0882
emb_30p_relu_standard,173.1220,53.0000,3.2483,0.0878
emb_30p_tanh_M_relu_alpha,212.6178,58.0000,3.6496,0.1077
emb_30p_tanh_M_relu_standard,272.0992,63.0000,4.2823,0.1095
emb_30p_tanh_alpha,114.4203,34.0000,3.3407,0.0899
emb_30p_tanh_standard,200.9951,59.0000,3.3668,0.0894
emb_62lr_relu_M_relu_alpha,127.1963,31.0000,4.0755,0.1069
emb_62lr_relu_M_relu_standard,311.7444,63.0000,4.8939,0.1197
emb_62lr_relu_alpha,110.7147,33.0000,3.3098,0.0893
emb_62lr_relu_standard,190.7370,57.0000,3.3012,0.0892
emb_62lr_tanh_M_relu_alpha,199.0267,43.0000,4.5384,0.1182
emb_62lr_tanh_M_relu_standard,203.6332,55.0000,3.6666,0.1044
emb_62lr_tanh_alpha,112.1449,34.0000,3.2590,0.0871
emb_62lr_tanh_standard,213.3279,65.0000,3.2749,0.0887
emb_65tlr_relu_M_relu_alpha,126.2314,28.0000,4.4061,0.1094
emb_65tlr_relu_M_relu_standard,279.3236,58.0000,4.7814,0.1168
emb_65tlr_relu_alpha,106.8960,32.0000,3.2901,0.0890
emb_65tlr_relu_standard,198.5826,59.0000,3.3534,0.0916
emb_65tlr_tanh_M_relu_alpha,171.9780,47.0000,3.5937,0.1042
emb_65tlr_tanh_M_relu_standard,331.6521,59.0000,5.5704,0.1064
emb_65tlr_tanh_alpha,109.4520,33.0000,3.2565,0.0865
emb_65tlr_tanh_standard,205.7339,62.0000,3.3130,0.0898
