,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
ctrl_114tlr_relu,0.2268,0.0042,0.8728,0.0036,0.9144,0.0020,0.9144,0.0020
ctrl_114tlr_tanh,0.2323,0.0018,0.8596,0.0037,0.9141,0.0007,0.9141,0.0007
ctrl_30p_relu,0.2268,0.0035,0.8713,0.0050,0.9148,0.0013,0.9148,0.0013
ctrl_30p_tanh,0.2321,0.0024,0.8609,0.0045,0.9148,0.0004,0.9148,0.0004
ctrl_50lr_relu,0.2254,0.0020,0.8724,0.0035,0.9158,0.0003,0.9158,0.0003
ctrl_50lr_tanh,0.2318,0.0017,0.8606,0.0034,0.9146,0.0007,0.9146,0.0007
default,0.2298,0.0031,0.8658,0.0041,0.9149,0.0006,0.9149,0.0006
emb_114tlr_relu_M_relu_alpha,0.2137,0.0033,0.8847,0.0051,0.9207,0.0015,0.9207,0.0015
emb_114tlr_relu_M_relu_standard,0.2205,0.0028,0.8790,0.0041,0.9202,0.0010,0.9202,0.0010
emb_114tlr_relu_alpha,0.2171,0.0028,0.8806,0.0043,0.9197,0.0008,0.9197,0.0008
emb_114tlr_relu_standard,0.2196,0.0023,0.8778,0.0039,0.9190,0.0005,0.9190,0.0005
emb_114tlr_tanh_M_relu_alpha,0.2090,0.0036,0.8923,0.0043,0.9212,0.0015,0.9212,0.0015
emb_114tlr_tanh_M_relu_standard,0.2303,0.0026,0.8654,0.0043,0.9152,0.0007,0.9152,0.0007
emb_114tlr_tanh_alpha,0.2101,0.0014,0.8896,0.0035,0.9215,0.0009,0.9215,0.0009
emb_114tlr_tanh_standard,0.2322,0.0032,0.8630,0.0026,0.9148,0.0008,0.9148,0.0008
emb_30p_relu_M_relu_alpha,0.2125,0.0027,0.8866,0.0048,0.9206,0.0011,0.9206,0.0011
emb_30p_relu_M_relu_standard,0.2167,0.0023,0.8819,0.0037,0.9199,0.0006,0.9199,0.0006
emb_30p_relu_alpha,0.2169,0.0026,0.8802,0.0043,0.9201,0.0007,0.9201,0.0007
emb_30p_relu_standard,0.2201,0.0030,0.8786,0.0048,0.9196,0.0008,0.9196,0.0008
emb_30p_tanh_M_relu_alpha,0.2120,0.0021,0.8901,0.0039,0.9205,0.0008,0.9205,0.0008
emb_30p_tanh_M_relu_standard,0.2282,0.0021,0.8699,0.0037,0.9161,0.0015,0.9161,0.0015
emb_30p_tanh_alpha,0.2141,0.0041,0.8894,0.0047,0.9193,0.0021,0.9193,0.0021
emb_30p_tanh_standard,0.2332,0.0028,0.8628,0.0040,0.9144,0.0006,0.9144,0.0006
emb_50lr_relu_M_relu_alpha,0.2123,0.0022,0.8869,0.0040,0.9209,0.0006,0.9209,0.0006
emb_50lr_relu_M_relu_standard,0.2192,0.0025,0.8809,0.0033,0.9203,0.0006,0.9203,0.0006
emb_50lr_relu_alpha,0.2174,0.0024,0.8803,0.0038,0.9195,0.0008,0.9195,0.0008
emb_50lr_relu_standard,0.2192,0.0029,0.8783,0.0045,0.9193,0.0005,0.9193,0.0005
emb_50lr_tanh_M_relu_alpha,0.2110,0.0031,0.8909,0.0035,0.9203,0.0021,0.9203,0.0021
emb_50lr_tanh_M_relu_standard,0.2307,0.0021,0.8671,0.0035,0.9158,0.0009,0.9158,0.0009
emb_50lr_tanh_alpha,0.2125,0.0028,0.8889,0.0040,0.9203,0.0015,0.9203,0.0015
emb_50lr_tanh_standard,0.2315,0.0022,0.8630,0.0042,0.9143,0.0007,0.9143,0.0007
