,otto-epochs,churn-epochs,fb-comments-epochs,california-epochs,adult-epochs,house-epochs,higgs-small-epochs,santander-epochs,covtype-epochs,gesture-epochs
p-FR,47.0000,28.0000,100.0000,90.0000,56.0000,71.0000,48.0000,18.0000,213.0000,26.0000
p-FT,48.0000,38.0000,82.0000,122.0000,63.0000,86.0000,46.0000,19.0000,189.0000,27.0000
l-FR,55.0000,28.0000,113.0000,114.0000,61.0000,70.0000,44.0000,18.0000,184.0000,24.0000
l-FT,52.0000,42.0000,87.0000,109.0000,63.0000,81.0000,41.0000,19.0000,169.0000,26.0000
t-FR,51.0000,27.0000,95.0000,105.0000,54.0000,68.0000,41.0000,18.0000,209.0000,25.0000
t-FT,48.0000,48.0000,88.0000,143.0000,56.0000,82.0000,41.0000,19.0000,216.0000,26.0000
default,50.0000,39.0000,83.0000,119.0000,67.0000,87.0000,57.0000,19.0000,204.0000,24.0000
p-LRLR-a,30.0000,25.0000,61.0000,97.0000,46.0000,66.0000,49.0000,19.0000,98.0000,23.0000
p-LRLR-s,33.0000,42.0000,91.0000,117.0000,45.0000,61.0000,56.0000,19.0000,145.0000,25.0000
p-LR-a,44.0000,26.0000,94.0000,118.0000,55.0000,79.0000,40.0000,19.0000,180.0000,29.0000
p-LR-s,40.0000,37.0000,74.0000,108.0000,63.0000,88.0000,53.0000,20.0000,193.0000,25.0000
p-LTLR-a,24.0000,25.0000,62.0000,70.0000,50.0000,51.0000,58.0000,19.0000,106.0000,20.0000
p-LTLR-s,39.0000,41.0000,77.0000,114.0000,59.0000,78.0000,63.0000,19.0000,201.0000,25.0000
p-LT-a,25.0000,22.0000,66.0000,83.0000,34.0000,50.0000,34.0000,18.0000,103.0000,20.0000
p-LT-s,47.0000,35.0000,73.0000,114.0000,67.0000,74.0000,59.0000,19.0000,240.0000,25.0000
l-LRLR-a,26.0000,26.0000,63.0000,68.0000,36.0000,65.0000,31.0000,19.0000,72.0000,23.0000
l-LRLR-s,34.0000,48.0000,72.0000,84.0000,69.0000,61.0000,63.0000,20.0000,188.0000,24.0000
l-LR-a,41.0000,26.0000,80.0000,126.0000,85.0000,71.0000,33.0000,20.0000,235.0000,23.0000
l-LR-s,40.0000,38.0000,82.0000,102.0000,69.0000,79.0000,57.0000,19.0000,217.0000,24.0000
l-LTLR-a,23.0000,25.0000,60.0000,65.0000,37.0000,44.0000,43.0000,18.0000,89.0000,21.0000
l-LTLR-s,45.0000,36.0000,77.0000,102.0000,55.0000,72.0000,55.0000,19.0000,203.0000,24.0000
l-LT-a,22.0000,22.0000,65.0000,70.0000,27.0000,52.0000,34.0000,18.0000,78.0000,21.0000
l-LT-s,52.0000,34.0000,70.0000,107.0000,48.0000,83.0000,65.0000,18.0000,224.0000,24.0000
t-LRLR-a,26.0000,24.0000,66.0000,83.0000,50.0000,54.0000,28.0000,19.0000,121.0000,25.0000
t-LRLR-s,35.0000,45.0000,81.0000,80.0000,60.0000,76.0000,58.0000,20.0000,158.0000,26.0000
t-LR-a,42.0000,28.0000,79.0000,120.0000,96.0000,74.0000,32.0000,20.0000,169.0000,30.0000
t-LR-s,40.0000,31.0000,80.0000,105.0000,45.0000,72.0000,59.0000,19.0000,214.0000,25.0000
t-LTLR-a,23.0000,28.0000,76.0000,70.0000,39.0000,37.0000,47.0000,18.0000,111.0000,19.0000
t-LTLR-s,46.0000,41.0000,67.0000,101.0000,60.0000,77.0000,59.0000,19.0000,195.0000,24.0000
t-LT-a,24.0000,21.0000,54.0000,64.0000,27.0000,39.0000,33.0000,18.0000,105.0000,19.0000
t-LT-s,45.0000,30.0000,66.0000,99.0000,49.0000,83.0000,62.0000,19.0000,227.0000,26.0000
