embedding-model,CA-dim,CA-MSE-mean,CA-MSE-std,OT-dim,OT-AUC-mean,OT-AUC-std,HI-dim,HI-AUC-mean,HI-AUC-std,AD-dim,AD-AUC-mean,AD-AUC-std,CH-dim,CH-AUC-mean,CH-AUC-std,FB-dim,FB-MSE-mean,FB-MSE-std,HO-dim,HO-MSE-mean,HO-MSE-std,CO-dim,CO-AUC-mean,CO-AUC-std,GE-dim,GE-AUC-mean,GE-AUC-std,SA-dim,SA-AUC-mean,SA-AUC-std
emb_lr_relu_alpha,78,0.0538,0.0035,74,0.9646,0.0045,77,0.7542,0.0186,70,0.8214,0.008,91,0.8458,0.0058,77,0.0115,0.0004,77,0.0493,0.0053,100,0.9657,0.0101,114,0.7911,0.0335,95,0.8896,0.0063
emb_lr_tanh_alpha,78,0.0496,0.0038,74,0.9066,0.0106,77,0.7955,0.0082,70,0.8717,0.0059,91,0.8495,0.0064,77,0.0099,0.0003,77,0.0442,0.0031,100,0.9201,0.0315,114,0.8274,0.0145,95,0.8955,0.0038
emb_tlr_relu_alpha,69,0.0873,0.0108,15,0.9608,0.0005,55,0.7646,0.0059,114,0.8435,0.0041,82,0.8444,0.0061,57,0.011,0.0005,41,0.0513,0.0024,11,0.9982,0.001,76,0.7784,0.0101,59,0.8922,0.0052
emb_tlr_tanh_alpha,69,0.0528,0.0029,15,0.9611,0.0025,55,0.7881,0.0048,114,0.8856,0.0119,82,0.8482,0.0082,57,0.0092,0.0006,41,0.0464,0.002,11,0.9972,0.0007,76,0.8121,0.0069,59,0.8946,0.0034
emb_lr_relu_standard,78,0.053,0.0019,74,0.9704,0.0026,77,0.5494,0.0846,70,0.8923,0.0137,91,0.8546,0.0063,77,0.0104,0.0003,77,0.0715,0.024,100,0.9666,0.0372,114,0.7833,0.0128,95,0.894,0.0045
emb_lr_tanh_standard,78,0.053,0.0028,74,0.8988,0.1385,77,0.6638,0.0962,70,0.8888,0.0141,91,0.8521,0.0088,77,0.0106,0.0002,77,0.0566,0.0054,100,0.9783,0.0191,114,0.7798,0.0207,95,0.8618,0.0048
emb_tlr_relu_standard,69,0.0832,0.0038,15,0.9652,0.0017,55,0.7377,0.0301,114,0.902,0.0029,82,0.8572,0.0048,57,0.0104,0.0009,41,0.0509,0.0024,11,0.9965,0.0009,76,0.8058,0.0119,59,0.8946,0.0036
emb_tlr_tanh_standard,69,0.0858,0.0034,15,0.9639,0.0014,55,0.6883,0.0344,114,0.8971,0.004,82,0.8502,0.0092,57,0.0111,0.0005,41,0.0513,0.0025,11,0.9979,0.0011,76,0.8033,0.0051,59,0.879,0.0092
emb_lrlr_relu_M_relu_alpha,93,0.047,0.0021,13,0.9716,0.0048,124,0.8136,0.0095,111,0.9087,0.0041,88,0.8529,0.0088,89,0.0081,0.0013,95,0.0444,0.0102,96,0.9981,0.001,114,0.8108,0.0181,111,0.8997,0.0034
emb_lrlr_tanh_M_relu_alpha,93,0.047,0.0016,13,0.9649,0.0011,124,0.8013,0.0026,111,0.9174,0.0044,88,0.852,0.0074,89,0.0073,0.0007,95,0.036,0.0069,96,0.9963,0.0028,114,0.8545,0.0344,111,0.9028,0.0017
emb_tlrlr_relu_M_relu_alpha,71,0.0459,0.0036,111,0.9695,0.005,70,0.7954,0.0047,128,0.9133,0.0021,46,0.8376,0.0134,117,0.0083,0.0009,101,0.044,0.0014,107,0.9955,0.0015,121,0.7964,0.0085,91,0.8977,0.0063
emb_tlrlr_tanh_M_relu_alpha,71,0.051,0.0025,111,0.9737,0.007,70,0.8112,0.0169,128,0.9143,0.0034,46,0.8488,0.0065,117,0.0087,0.0017,101,0.0434,0.0015,107,0.9915,0.0108,121,0.8181,0.0132,91,0.9054,0.0079
emb_lrlr_relu_M_relu_standard,93,0.0575,0.002,13,0.897,0.1466,124,0.799,0.0155,111,0.9105,0.003,88,0.8582,0.007,89,0.0093,0.0005,95,0.0651,0.0241,96,0.9692,0.0392,114,0.7897,0.0356,111,0.877,0.0487
emb_lrlr_tanh_M_relu_standard,93,0.0574,0.002,13,0.6885,0.2309,124,0.7885,0.0483,111,0.9091,0.0042,88,0.852,0.0248,89,0.0101,0.0008,95,0.0444,0.0037,96,0.9896,0.0102,114,0.8414,0.0247,111,0.8966,0.0039
emb_tlrlr_relu_M_relu_standard,71,0.0511,0.0011,111,0.9553,0.015,70,0.7874,0.0098,128,0.9088,0.0032,46,0.8598,0.0061,117,0.0106,0.0006,101,0.0457,0.0015,107,0.9914,0.0076,121,0.7987,0.0095,91,0.8909,0.0068
emb_tlrlr_tanh_M_relu_standard,71,0.0524,0.0028,111,0.9644,0.0205,70,0.7999,0.0095,128,0.9095,0.0023,46,0.8614,0.0072,117,0.01,0.0009,101,0.0466,0.0016,107,0.9946,0.0017,121,0.7998,0.014,91,0.8906,0.0121
