,fb-comments-epochs,fb-comments-tpe,house-epochs,house-tpe,santander-epochs,santander-tpe,churn-epochs,churn-tpe,california-epochs,california-tpe,otto-epochs,otto-tpe,adult-epochs,adult-tpe,covtype-epochs,covtype-tpe,gesture-epochs,gesture-tpe,higgs-small-epochs,higgs-small-tpe
t-LRLR-a,53.0000,4.3334,35.0000,0.3522,29.0000,6.5792,22.0000,0.2641,55.0000,0.2782,27.0000,1.9907,69.0000,0.6670,145.0000,17.0778,30.0000,0.1901,28.0000,1.2550
t-LRLR-s,71.0000,3.5704,81.0000,0.3512,74.0000,6.3466,47.0000,0.2723,146.0000,0.2771,61.0000,1.7838,91.0000,0.6720,145.0000,16.8206,55.0000,0.1900,153.0000,1.2402
t-LTLR-a,52.0000,3.3037,31.0000,0.3588,24.0000,6.2979,24.0000,0.3014,47.0000,0.2809,25.0000,1.9227,74.0000,0.6737,88.0000,17.3987,27.0000,0.1918,43.0000,1.2301
t-LTLR-s,87.0000,3.2942,63.0000,0.3515,49.0000,6.3663,43.0000,0.3567,117.0000,0.2760,66.0000,2.3705,94.0000,0.6715,121.0000,18.9199,57.0000,0.1886,108.0000,1.6118
t-LR-a,132.0000,2.0205,60.0000,0.3421,119.0000,2.3329,28.0000,0.0940,51.0000,0.1949,56.0000,0.5605,39.0000,0.8833,169.0000,7.7302,48.0000,0.1297,54.0000,1.5834
t-LR-s,171.0000,2.0260,90.0000,0.3440,57.0000,2.3563,64.0000,0.0940,113.0000,0.1907,214.0000,0.5560,49.0000,0.8834,163.0000,10.0593,92.0000,0.1299,89.0000,1.5841
t-LT-a,102.0000,2.5274,58.0000,0.3429,23.0000,2.3676,23.0000,0.0909,91.0000,0.1994,104.0000,0.5471,57.0000,0.8920,189.0000,7.7522,52.0000,0.1312,38.0000,1.5829
t-LT-s,136.0000,2.5097,89.0000,0.3401,106.0000,2.3555,42.0000,0.0916,126.0000,0.1968,236.0000,0.5480,54.0000,0.8811,174.0000,7.7402,83.0000,0.1308,133.0000,1.5851
l-LR-a,93.0000,2.6765,56.0000,0.4439,43.0000,4.4920,22.0000,0.1529,81.0000,0.2540,32.0000,1.0988,20.0000,0.7308,210.0000,8.7876,46.0000,0.1713,96.0000,1.6023
l-LR-s,74.0000,2.6667,107.0000,0.4431,102.0000,4.4957,44.0000,0.1517,140.0000,0.2537,183.0000,1.1044,36.0000,0.7228,147.0000,8.8457,112.0000,0.1700,32.0000,1.5895
l-LT-a,54.0000,2.6809,39.0000,0.4453,24.0000,4.4826,22.0000,0.1497,63.0000,0.2560,49.0000,1.0990,23.0000,0.7355,109.0000,8.9868,51.0000,0.1729,52.0000,1.5913
l-LT-s,87.0000,2.6904,78.0000,0.4465,93.0000,4.4956,41.0000,0.1505,120.0000,0.2554,195.0000,1.1026,38.0000,0.7289,126.0000,8.8550,98.0000,0.1709,78.0000,1.5899
l-LRLR-a,60.0000,3.0008,42.0000,0.3716,23.0000,8.4318,34.0000,0.1664,65.0000,0.2271,65.0000,1.4340,54.0000,0.5822,68.0000,13.8218,26.0000,0.1793,28.0000,1.3324
l-LRLR-s,78.0000,2.9811,111.0000,0.3698,54.0000,8.4306,53.0000,0.1652,174.0000,0.2259,132.0000,1.4586,79.0000,0.5776,104.0000,13.6567,67.0000,0.1766,112.0000,1.3102
l-LTLR-a,41.0000,2.9865,41.0000,0.3710,20.0000,8.4273,27.0000,0.1669,56.0000,0.2255,37.0000,1.4396,38.0000,0.5784,72.0000,13.6997,25.0000,0.1802,30.0000,1.3155
l-LTLR-s,92.0000,2.9768,81.0000,0.3678,40.0000,8.4602,52.0000,0.1637,138.0000,0.2244,80.0000,1.4376,52.0000,0.5803,82.0000,13.6542,66.0000,0.1781,93.0000,1.3139
