embedding-model,CO-dim,CO-AUC-mean,CO-AUC-std,AD-dim,AD-AUC-mean,AD-AUC-std,CA-dim,CA-MSE-mean,CA-MSE-std,GE-dim,GE-AUC-mean,GE-AUC-std,HI-dim,HI-AUC-mean,HI-AUC-std,HO-dim,HO-MSE-mean,HO-MSE-std,SA-dim,SA-AUC-mean,SA-AUC-std,CH-dim,CH-AUC-mean,CH-AUC-std,OT-dim,OT-AUC-mean,OT-AUC-std,FB-dim,FB-MSE-mean,FB-MSE-std
emb_lr_relu_rtdl,288,0.9982,0.0003,192,0.9205,0.0029,176,0.0555,0.0169,288,0.8865,0.0415,280,0.8093,0.0027,280,0.0604,0.0157,448,0.8987,0.0037,168,0.869,0.0051,488,0.9672,0.0021,296,0.0098,0.0004
emb_lr_tanh_rtdl,288,0.9983,0.0003,192,0.9194,0.0025,176,0.0519,0.0016,288,0.8501,0.0093,280,0.8069,0.0037,280,0.0502,0.0037,448,0.8962,0.0037,168,0.8689,0.0047,488,0.9657,0.0015,296,0.0099,0.0004
emb_lr_relu_alpha,288,0.9979,0.0003,192,0.9235,0.0055,176,0.0719,0.012,288,0.8258,0.0164,280,0.807,0.0024,280,0.0474,0.0075,448,0.8872,0.0035,168,0.8666,0.0082,488,0.9677,0.0007,296,0.0101,0.0003
emb_lr_tanh_alpha,288,0.9967,0.0003,192,0.9224,0.0046,176,0.0396,0.0081,288,0.8446,0.0463,280,0.8015,0.0039,280,0.0476,0.0029,448,0.8954,0.0031,168,0.8562,0.0057,488,0.9665,0.0015,296,0.009,0.0004
emb_tlr_relu_rtdl,320,0.9981,0.0002,328,0.9158,0.0026,472,0.0679,0.0043,512,0.8026,0.0423,440,0.8074,0.0028,200,0.0478,0.0058,296,0.8988,0.0039,336,0.8619,0.0091,392,0.9677,0.0012,432,0.0098,0.0003
emb_tlr_tanh_rtdl,320,0.9979,0.0002,328,0.9144,0.0022,472,0.0685,0.0037,512,0.847,0.0116,440,0.8082,0.0019,200,0.0466,0.0022,296,0.8969,0.0038,336,0.865,0.0069,392,0.9661,0.001,432,0.0098,0.0003
emb_tlr_relu_alpha,320,0.9978,0.0006,328,0.9189,0.0025,472,0.0724,0.0147,512,0.8028,0.0228,440,0.7957,0.0097,200,0.046,0.012,296,0.8858,0.003,336,0.8505,0.0115,392,0.9653,0.001,432,0.0105,0.0002
emb_tlr_tanh_alpha,320,0.9968,0.0005,328,0.9259,0.0018,472,0.0443,0.0026,512,0.8718,0.0383,440,0.804,0.0044,200,0.0313,0.0103,296,0.8949,0.0033,336,0.8623,0.007,392,0.9655,0.0012,432,0.0091,0.0003
emb_lr_relu_standard,288,0.9666,0.0288,192,0.9185,0.002,176,0.0659,0.0108,288,0.7812,0.0193,280,0.7967,0.0067,280,0.0848,0.0383,448,0.8894,0.004,168,0.8431,0.0442,488,0.9573,0.0032,296,0.0106,0.0002
emb_lr_tanh_standard,288,0.9984,0.0004,192,0.9185,0.0043,176,0.073,0.0081,288,0.8426,0.0479,280,0.793,0.0026,280,0.0574,0.0159,448,0.8927,0.0042,168,0.8671,0.0046,488,0.9574,0.0028,296,0.0114,0.0006
emb_tlr_relu_standard,320,0.9966,0.0006,328,0.9177,0.0014,472,0.0753,0.0083,512,0.7639,0.0277,440,0.7883,0.0029,200,0.0773,0.0464,296,0.8929,0.0045,336,0.7953,0.067,392,0.9565,0.0029,432,0.0107,0.0003
emb_tlr_tanh_standard,320,0.9982,0.0006,328,0.9145,0.0038,472,0.0796,0.008,512,0.7797,0.0075,440,0.7917,0.0039,200,0.073,0.0296,296,0.8954,0.0041,336,0.8472,0.0267,392,0.9572,0.0033,432,0.0107,0.0005
