,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
emb_111lrlr_relu_M_relu_alpha,0.3117,0.0085,0.9087,0.0041,0.8561,0.0048,0.8561,0.0048
emb_111lrlr_relu_M_relu_standard,0.3087,0.0059,0.9105,0.0030,0.8568,0.0025,0.8568,0.0025
emb_111lrlr_tanh_M_relu_alpha,0.2961,0.0077,0.9174,0.0044,0.8615,0.0041,0.8615,0.0041
emb_111lrlr_tanh_M_relu_standard,0.3103,0.0077,0.9091,0.0042,0.8559,0.0033,0.8559,0.0033
emb_114tlr_relu_alpha,0.4296,0.0068,0.8435,0.0041,0.8213,0.0059,0.8213,0.0059
emb_114tlr_relu_standard,0.3954,0.0082,0.9020,0.0029,0.8443,0.0064,0.8443,0.0064
emb_114tlr_tanh_alpha,0.3857,0.0064,0.8856,0.0119,0.8364,0.0082,0.8364,0.0082
emb_114tlr_tanh_standard,0.3966,0.0134,0.8971,0.0040,0.8340,0.0094,0.8340,0.0094
emb_128tlrlr_relu_M_relu_alpha,0.3031,0.0039,0.9133,0.0021,0.8580,0.0034,0.8580,0.0034
emb_128tlrlr_relu_M_relu_standard,0.3133,0.0064,0.9088,0.0032,0.8535,0.0031,0.8535,0.0031
emb_128tlrlr_tanh_M_relu_alpha,0.3019,0.0064,0.9143,0.0034,0.8595,0.0042,0.8595,0.0042
emb_128tlrlr_tanh_M_relu_standard,0.3124,0.0052,0.9095,0.0023,0.8546,0.0020,0.8546,0.0020
emb_70lr_relu_alpha,0.4294,0.0091,0.8214,0.0080,0.7829,0.0158,0.7829,0.0158
emb_70lr_relu_standard,0.3625,0.0127,0.8923,0.0137,0.8402,0.0082,0.8402,0.0082
emb_70lr_tanh_alpha,0.3845,0.0129,0.8717,0.0059,0.8303,0.0062,0.8303,0.0062
emb_70lr_tanh_standard,0.3662,0.0096,0.8888,0.0141,0.8356,0.0083,0.8356,0.0083
