,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
emb_114lr_relu_alpha,0.7911,0.0335,0.5407,0.0324,0.5052,0.0366,1.4265,0.0233
emb_114lr_relu_standard,0.7833,0.0128,0.5294,0.0149,0.4909,0.0223,1.4329,0.0141
emb_114lr_tanh_alpha,0.8274,0.0145,0.5875,0.0136,0.5608,0.0154,1.3877,0.0129
emb_114lr_tanh_standard,0.7798,0.0207,0.5246,0.0235,0.4920,0.0286,1.4267,0.0275
emb_114lrlr_relu_M_relu_alpha,0.8108,0.0181,0.5481,0.0280,0.5195,0.0406,1.4139,0.0169
emb_114lrlr_relu_M_relu_standard,0.7897,0.0356,0.5256,0.0500,0.4757,0.0869,1.4377,0.0531
emb_114lrlr_tanh_M_relu_alpha,0.8545,0.0344,0.6161,0.0488,0.5955,0.0555,1.3515,0.0317
emb_114lrlr_tanh_M_relu_standard,0.8414,0.0247,0.5895,0.0382,0.5701,0.0431,1.3882,0.0236
emb_121tlrlr_relu_M_relu_alpha,0.7964,0.0085,0.5310,0.0107,0.5014,0.0127,1.4197,0.0089
emb_121tlrlr_relu_M_relu_standard,0.7987,0.0095,0.5461,0.0113,0.5175,0.0168,1.4087,0.0101
emb_121tlrlr_tanh_M_relu_alpha,0.8181,0.0132,0.5701,0.0209,0.5518,0.0274,1.3829,0.0173
emb_121tlrlr_tanh_M_relu_standard,0.7998,0.0140,0.5434,0.0167,0.5177,0.0207,1.4077,0.0153
emb_76tlr_relu_alpha,0.7784,0.0101,0.5168,0.0071,0.4785,0.0077,1.4297,0.0090
emb_76tlr_relu_standard,0.8058,0.0119,0.5584,0.0149,0.5368,0.0176,1.3956,0.0115
emb_76tlr_tanh_alpha,0.8121,0.0069,0.5600,0.0062,0.5341,0.0084,1.3879,0.0082
emb_76tlr_tanh_standard,0.8033,0.0051,0.5589,0.0110,0.5370,0.0088,1.3956,0.0068
