,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
emb_101tlrlr_relu_M_relu_alpha,0.0440,0.0014,0.2098,0.0032,0.7223,0.0120
emb_101tlrlr_relu_M_relu_standard,0.0457,0.0015,0.2138,0.0034,0.7115,0.0120
emb_101tlrlr_tanh_M_relu_alpha,0.0434,0.0015,0.2083,0.0036,0.7262,0.0125
emb_101tlrlr_tanh_M_relu_standard,0.0466,0.0016,0.2158,0.0037,0.7064,0.0060
emb_41tlr_relu_alpha,0.0513,0.0024,0.2264,0.0054,0.6760,0.0243
emb_41tlr_relu_standard,0.0509,0.0024,0.2256,0.0054,0.6791,0.0063
emb_41tlr_tanh_alpha,0.0464,0.0020,0.2153,0.0047,0.7076,0.0110
emb_41tlr_tanh_standard,0.0513,0.0025,0.2264,0.0056,0.6764,0.0160
emb_77lr_relu_alpha,0.0493,0.0053,0.2217,0.0125,0.6892,0.0333
emb_77lr_relu_standard,0.0715,0.0240,0.2637,0.0447,0.5472,0.1583
emb_77lr_tanh_alpha,0.0442,0.0031,0.2102,0.0076,0.7202,0.0272
emb_77lr_tanh_standard,0.0566,0.0054,0.2377,0.0112,0.6439,0.0204
emb_95lrlr_relu_M_relu_alpha,0.0444,0.0102,0.2089,0.0266,0.7200,0.0661
emb_95lrlr_relu_M_relu_standard,0.0651,0.0241,0.2513,0.0437,0.5871,0.1644
emb_95lrlr_tanh_M_relu_alpha,0.0360,0.0069,0.1888,0.0180,0.7735,0.0419
emb_95lrlr_tanh_M_relu_standard,0.0444,0.0037,0.2104,0.0086,0.7201,0.0246
