,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
emb_111tlrlr_relu_M_relu_alpha,0.9695,0.0050,0.8024,0.0154,0.7941,0.0213,1.6210,0.0154
emb_111tlrlr_relu_M_relu_standard,0.9553,0.0150,0.7675,0.0369,0.7465,0.0485,1.6619,0.0407
emb_111tlrlr_tanh_M_relu_alpha,0.9737,0.0070,0.8213,0.0187,0.8176,0.0189,1.5989,0.0159
emb_111tlrlr_tanh_M_relu_standard,0.9644,0.0205,0.7874,0.0520,0.7762,0.0670,1.6435,0.0585
emb_13lrlr_relu_M_relu_alpha,0.9716,0.0048,0.8053,0.0121,0.7922,0.0173,1.6313,0.0072
emb_13lrlr_relu_M_relu_standard,0.8970,0.1466,0.7304,0.1523,0.6997,0.1940,1.7068,0.1671
emb_13lrlr_tanh_M_relu_alpha,0.9649,0.0011,0.8013,0.0075,0.7940,0.0100,1.6151,0.0115
emb_13lrlr_tanh_M_relu_standard,0.6885,0.2309,0.4793,0.2680,0.3848,0.3395,1.9327,0.2571
emb_15tlr_relu_alpha,0.9608,0.0005,0.7936,0.0011,0.7867,0.0007,1.6233,0.0009
emb_15tlr_relu_standard,0.9652,0.0017,0.7975,0.0070,0.7906,0.0086,1.6317,0.0076
emb_15tlr_tanh_alpha,0.9611,0.0025,0.7823,0.0047,0.7692,0.0055,1.6482,0.0025
emb_15tlr_tanh_standard,0.9639,0.0014,0.7934,0.0027,0.7843,0.0042,1.6379,0.0046
emb_74lr_relu_alpha,0.9646,0.0045,0.7884,0.0091,0.7784,0.0133,1.6491,0.0070
emb_74lr_relu_standard,0.9704,0.0026,0.8040,0.0044,0.7965,0.0043,1.6357,0.0122
emb_74lr_tanh_alpha,0.9066,0.0106,0.6353,0.0362,0.5664,0.0348,1.9167,0.0210
emb_74lr_tanh_standard,0.8988,0.1385,0.6964,0.2079,0.6634,0.2534,1.7251,0.1922
