,fb-comments-epochs,house-epochs,santander-epochs,churn-epochs,california-epochs,otto-epochs,adult-epochs,covtype-epochs,gesture-epochs,higgs-small-epochs
t-LRLR-a,53.0000,35.0000,29.0000,22.0000,55.0000,27.0000,69.0000,145.0000,30.0000,28.0000
t-LRLR-s,71.0000,81.0000,74.0000,47.0000,146.0000,61.0000,91.0000,145.0000,55.0000,153.0000
t-LTLR-a,52.0000,31.0000,24.0000,24.0000,47.0000,25.0000,74.0000,88.0000,27.0000,43.0000
t-LTLR-s,87.0000,63.0000,49.0000,43.0000,117.0000,66.0000,94.0000,121.0000,57.0000,108.0000
t-LR-a,132.0000,60.0000,119.0000,28.0000,51.0000,56.0000,39.0000,169.0000,48.0000,54.0000
t-LR-s,171.0000,90.0000,57.0000,64.0000,113.0000,214.0000,49.0000,163.0000,92.0000,89.0000
t-LT-a,102.0000,58.0000,23.0000,23.0000,91.0000,104.0000,57.0000,189.0000,52.0000,38.0000
t-LT-s,136.0000,89.0000,106.0000,42.0000,126.0000,236.0000,54.0000,174.0000,83.0000,133.0000
l-LR-a,93.0000,56.0000,43.0000,22.0000,81.0000,32.0000,20.0000,210.0000,46.0000,96.0000
l-LR-s,74.0000,107.0000,102.0000,44.0000,140.0000,183.0000,36.0000,147.0000,112.0000,32.0000
l-LT-a,54.0000,39.0000,24.0000,22.0000,63.0000,49.0000,23.0000,109.0000,51.0000,52.0000
l-LT-s,87.0000,78.0000,93.0000,41.0000,120.0000,195.0000,38.0000,126.0000,98.0000,78.0000
l-LRLR-a,60.0000,42.0000,23.0000,34.0000,65.0000,65.0000,54.0000,68.0000,26.0000,28.0000
l-LRLR-s,78.0000,111.0000,54.0000,53.0000,174.0000,132.0000,79.0000,104.0000,67.0000,112.0000
l-LTLR-a,41.0000,41.0000,20.0000,27.0000,56.0000,37.0000,38.0000,72.0000,25.0000,30.0000
l-LTLR-s,92.0000,81.0000,40.0000,52.0000,138.0000,80.0000,52.0000,82.0000,66.0000,93.0000
