embedding-model,CO-AUC,AD-AUC,CA-MSE,GE-AUC,HI-AUC,HO-MSE,SA-AUC,CH-AUC,OT-AUC,FB-MSE
l-LR-s,0.9666,0.9185,0.0659,0.7812,0.7967,0.0848,0.8894,0.8431,0.9573,0.0106
l-LR-a,0.9979,0.9235,0.0719,0.8258,0.807,0.0474,0.8872,0.8666,0.9677,0.0101
l-LR-r,0.9982,0.9205,0.0555,0.8865,0.8093,0.0604,0.8987,0.869,0.9672,0.0098
l-LT-s,0.9984,0.9185,0.073,0.8426,0.793,0.0574,0.8927,0.8671,0.9574,0.0114
l-LT-a,0.9967,0.9224,0.0396,0.8446,0.8015,0.0476,0.8954,0.8562,0.9665,0.009
l-LT-r,0.9983,0.9194,0.0519,0.8501,0.8069,0.0502,0.8962,0.8689,0.9657,0.0099
t-LR-s,0.9966,0.9177,0.0753,0.7639,0.7883,0.0773,0.8929,0.7953,0.9565,0.0107
t-LR-a,0.9978,0.9189,0.0724,0.8028,0.7957,0.046,0.8858,0.8505,0.9653,0.0105
t-LR-r,0.9981,0.9158,0.0679,0.8026,0.8074,0.0478,0.8988,0.8619,0.9677,0.0098
t-LT-s,0.9982,0.9145,0.0796,0.7797,0.7917,0.073,0.8954,0.8472,0.9572,0.0107
t-LT-a,0.9968,0.9259,0.0443,0.8718,0.804,0.0313,0.8949,0.8623,0.9655,0.0091
t-LT-r,0.9979,0.9144,0.0685,0.847,0.8082,0.0466,0.8969,0.865,0.9661,0.0098
