,trainning_time,average_epochs,time_per_epoch,testing_time
emb_192lr_relu_alpha,112.3324,55.0000,2.0126,0.0550
emb_192lr_relu_rtdl,72.1960,35.0000,2.0276,0.0554
emb_192lr_relu_standard,96.3449,47.0000,2.0226,0.0555
emb_192lr_tanh_alpha,58.5686,28.0000,2.0287,0.0558
emb_192lr_tanh_rtdl,92.0931,36.0000,2.5407,0.0489
emb_192lr_tanh_standard,73.3973,36.0000,2.0071,0.0549
emb_328tlr_relu_alpha,109.3901,88.0000,1.2311,0.0454
emb_328tlr_relu_rtdl,90.1049,72.0000,1.2347,0.0457
emb_328tlr_relu_standard,122.4018,97.0000,1.2490,0.0456
emb_328tlr_tanh_alpha,56.5469,45.0000,1.2371,0.0454
emb_328tlr_tanh_rtdl,109.6124,68.0000,1.5931,0.0444
emb_328tlr_tanh_standard,71.8873,57.0000,1.2450,0.0456
