,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
emb_168lr_relu_alpha,0.3359,0.0077,0.8666,0.0082,0.8634,0.0031,0.8634,0.0031
emb_168lr_relu_rtdl,0.3299,0.0063,0.8690,0.0051,0.8655,0.0043,0.8655,0.0043
emb_168lr_relu_standard,0.3589,0.0455,0.8431,0.0442,0.8488,0.0262,0.8488,0.0262
emb_168lr_tanh_alpha,0.3517,0.0044,0.8562,0.0057,0.8537,0.0034,0.8537,0.0034
emb_168lr_tanh_rtdl,0.3308,0.0045,0.8689,0.0047,0.8651,0.0055,0.8651,0.0055
emb_168lr_tanh_standard,0.3327,0.0065,0.8671,0.0046,0.8652,0.0041,0.8652,0.0041
emb_336tlr_relu_alpha,0.3515,0.0112,0.8505,0.0115,0.8524,0.0050,0.8524,0.0050
emb_336tlr_relu_rtdl,0.3425,0.0187,0.8619,0.0091,0.8576,0.0112,0.8576,0.0112
emb_336tlr_relu_standard,0.3996,0.0562,0.7953,0.0670,0.8363,0.0224,0.8363,0.0224
emb_336tlr_tanh_alpha,0.3437,0.0074,0.8623,0.0070,0.8586,0.0022,0.8586,0.0022
emb_336tlr_tanh_rtdl,0.3366,0.0078,0.8650,0.0069,0.8604,0.0058,0.8604,0.0058
emb_336tlr_tanh_standard,0.3528,0.0242,0.8472,0.0267,0.8559,0.0105,0.8559,0.0105
