,trainning_time,average_epochs,time_per_epoch,testing_time
emb_392tlr_relu_alpha,2126.0521,157.0000,13.4947,0.7110
emb_392tlr_relu_rtdl,1717.4249,127.0000,13.5096,0.7127
emb_392tlr_relu_standard,2848.4409,211.0000,13.4778,0.7104
emb_392tlr_tanh_alpha,542.3328,40.0000,13.5491,0.7136
emb_392tlr_tanh_rtdl,1787.1047,132.0000,13.4642,0.7103
emb_392tlr_tanh_standard,3020.2692,223.0000,13.5031,0.7111
emb_488lr_relu_alpha,1525.7979,93.0000,16.3181,0.8912
emb_488lr_relu_rtdl,1507.8057,92.0000,16.2649,0.8925
emb_488lr_relu_standard,3503.4550,214.0000,16.3297,0.8919
emb_488lr_tanh_alpha,546.9682,33.0000,16.3456,0.8920
emb_488lr_tanh_rtdl,1585.3336,97.0000,16.3124,0.8906
emb_488lr_tanh_standard,3109.0906,190.0000,16.2908,0.8922
