,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
emb_296tlr_relu_alpha,0.2144,0.0015,0.8858,0.0030,0.9197,0.0007,0.9197,0.0007
emb_296tlr_relu_rtdl,0.2036,0.0021,0.8988,0.0039,0.9241,0.0007,0.9241,0.0007
emb_296tlr_relu_standard,0.2081,0.0027,0.8929,0.0045,0.9222,0.0012,0.9222,0.0012
emb_296tlr_tanh_alpha,0.2063,0.0025,0.8949,0.0033,0.9232,0.0007,0.9232,0.0007
emb_296tlr_tanh_rtdl,0.2048,0.0031,0.8969,0.0038,0.9235,0.0015,0.9235,0.0015
emb_296tlr_tanh_standard,0.2054,0.0027,0.8954,0.0041,0.9235,0.0012,0.9235,0.0012
emb_448lr_relu_alpha,0.2148,0.0028,0.8872,0.0035,0.9198,0.0015,0.9198,0.0015
emb_448lr_relu_rtdl,0.2028,0.0021,0.8987,0.0037,0.9243,0.0004,0.9243,0.0004
emb_448lr_relu_standard,0.2156,0.0047,0.8894,0.0040,0.9188,0.0019,0.9188,0.0019
emb_448lr_tanh_alpha,0.2056,0.0019,0.8954,0.0031,0.9234,0.0008,0.9234,0.0008
emb_448lr_tanh_rtdl,0.2047,0.0024,0.8962,0.0037,0.9234,0.0012,0.9234,0.0012
emb_448lr_tanh_standard,0.2076,0.0028,0.8927,0.0042,0.9228,0.0013,0.9228,0.0013
