,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
default,0.3287,0.0075,0.9012,0.0057,0.8459,0.0068,0.8459,0.0068
emb_15_control_relu,0.3304,0.0079,0.9001,0.0049,0.8474,0.0064,0.8474,0.0064
emb_15_control_tanh,0.3295,0.0064,0.9003,0.0047,0.8445,0.0044,0.8445,0.0044
emb_15_relu_alpha,0.3096,0.0072,0.9101,0.0041,0.8551,0.0037,0.8551,0.0037
emb_15_relu_standard,0.3146,0.0049,0.9084,0.0036,0.8511,0.0050,0.8511,0.0050
emb_15_tanh_alpha,0.3123,0.0050,0.9087,0.0034,0.8533,0.0035,0.8533,0.0035
emb_15_tanh_standard,0.3176,0.0052,0.9067,0.0037,0.8503,0.0057,0.8503,0.0057
emb_30_control_relu,0.3289,0.0067,0.9010,0.0046,0.8470,0.0056,0.8470,0.0056
emb_30_control_tanh,0.3276,0.0067,0.9014,0.0052,0.8464,0.0058,0.8464,0.0058
emb_30_relu_alpha,0.3106,0.0075,0.9093,0.0044,0.8556,0.0043,0.8556,0.0043
emb_30_relu_standard,0.3145,0.0049,0.9082,0.0030,0.8516,0.0049,0.8516,0.0049
emb_30_tanh_alpha,0.3082,0.0073,0.9104,0.0044,0.8572,0.0048,0.8572,0.0048
emb_30_tanh_standard,0.3160,0.0047,0.9075,0.0032,0.8510,0.0054,0.8510,0.0054
emb_70_control_relu,0.3283,0.0066,0.9016,0.0043,0.8463,0.0073,0.8463,0.0073
emb_70_control_tanh,0.3243,0.0065,0.9042,0.0054,0.8493,0.0055,0.8493,0.0055
emb_70_relu_alpha,0.3183,0.0085,0.9053,0.0046,0.8526,0.0051,0.8526,0.0051
emb_70_relu_standard,0.3126,0.0043,0.9091,0.0031,0.8530,0.0054,0.8530,0.0054
emb_70_tanh_alpha,0.3079,0.0056,0.9111,0.0037,0.8553,0.0043,0.8553,0.0043
emb_70_tanh_standard,0.3136,0.0060,0.9085,0.0037,0.8528,0.0052,0.8528,0.0052
