,trainning_time,average_epochs,time_per_epoch,testing_time
default,23.4116,76.0000,0.3047,0.0066
emb_15_control_relu,19.6293,57.0000,0.3400,0.0077
emb_15_control_tanh,23.5567,70.0000,0.3353,0.0073
emb_15_relu_alpha,18.0893,51.0000,0.3536,0.0086
emb_15_relu_standard,21.9906,61.0000,0.3552,0.0089
emb_15_tanh_alpha,17.3883,46.0000,0.3726,0.0093
emb_15_tanh_standard,19.5269,52.0000,0.3712,0.0091
emb_30_control_relu,20.9804,61.0000,0.3389,0.0077
emb_30_control_tanh,31.7614,63.0000,0.5039,0.0095
emb_30_relu_alpha,21.3566,60.0000,0.3551,0.0089
emb_30_relu_standard,19.4876,54.0000,0.3605,0.0090
emb_30_tanh_alpha,13.0062,36.0000,0.3588,0.0091
emb_30_tanh_standard,21.5358,60.0000,0.3562,0.0090
emb_70_control_relu,19.6739,55.0000,0.3555,0.0082
emb_70_control_tanh,26.3157,74.0000,0.3513,0.0081
emb_70_relu_alpha,24.5012,67.0000,0.3620,0.0089
emb_70_relu_standard,23.6985,65.0000,0.3630,0.0093
emb_70_tanh_alpha,15.9596,44.0000,0.3618,0.0091
emb_70_tanh_standard,24.9233,68.0000,0.3622,0.0091
