,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
default,0.0487,0.0029,0.2207,0.0066,0.7847,0.0103
emb_15_control_relu,0.0474,0.0028,0.2175,0.0066,0.7906,0.0139
emb_15_control_tanh,0.0475,0.0019,0.2178,0.0043,0.7903,0.0066
emb_15_relu_alpha,0.0468,0.0032,0.2161,0.0073,0.7935,0.0118
emb_15_relu_standard,0.0537,0.0094,0.2309,0.0195,0.7632,0.0370
emb_15_tanh_alpha,0.0433,0.0029,0.2080,0.0069,0.8086,0.0139
emb_15_tanh_standard,0.0503,0.0080,0.2236,0.0173,0.7774,0.0380
emb_30_control_relu,0.0468,0.0023,0.2163,0.0053,0.7930,0.0100
emb_30_control_tanh,0.0474,0.0027,0.2177,0.0061,0.7906,0.0083
emb_30_relu_alpha,0.0461,0.0029,0.2146,0.0068,0.7963,0.0112
emb_30_relu_standard,0.0593,0.0106,0.2425,0.0222,0.7378,0.0467
emb_30_tanh_alpha,0.0456,0.0046,0.2132,0.0107,0.7985,0.0221
emb_30_tanh_standard,0.0468,0.0050,0.2161,0.0115,0.7930,0.0218
emb_70_control_relu,0.0480,0.0034,0.2189,0.0079,0.7880,0.0141
emb_70_control_tanh,0.0486,0.0034,0.2203,0.0075,0.7855,0.0104
emb_70_relu_alpha,0.0478,0.0021,0.2185,0.0048,0.7889,0.0099
emb_70_relu_standard,0.0581,0.0091,0.2402,0.0192,0.7437,0.0387
emb_70_tanh_alpha,0.0399,0.0023,0.1998,0.0058,0.8234,0.0107
emb_70_tanh_standard,0.0467,0.0022,0.2159,0.0051,0.7939,0.0075
