,trainning_time,average_epochs,time_per_epoch,testing_time
default,26.8962,166.0000,0.1616,0.0037
emb_15_control_relu,23.9810,130.0000,0.1832,0.0043
emb_15_control_tanh,20.6671,113.0000,0.1822,0.0043
emb_15_relu_alpha,25.5030,132.0000,0.1920,0.0050
emb_15_relu_standard,28.8540,151.0000,0.1906,0.0051
emb_15_tanh_alpha,24.0969,123.0000,0.1958,0.0052
emb_15_tanh_standard,27.6307,142.0000,0.1943,0.0053
emb_30_control_relu,25.3082,138.0000,0.1824,0.0045
emb_30_control_tanh,18.6213,101.0000,0.1830,0.0045
emb_30_relu_alpha,19.7792,103.0000,0.1905,0.0052
emb_30_relu_standard,23.3022,119.0000,0.1944,0.0052
emb_30_tanh_alpha,17.2590,89.0000,0.1933,0.0052
emb_30_tanh_standard,36.2974,183.0000,0.1983,0.0058
emb_70_control_relu,18.1320,98.0000,0.1849,0.0044
emb_70_control_tanh,16.4764,87.0000,0.1886,0.0046
emb_70_relu_alpha,18.5261,95.0000,0.1949,0.0052
emb_70_relu_standard,27.5781,138.0000,0.1995,0.0053
emb_70_tanh_alpha,17.2282,87.0000,0.1976,0.0053
emb_70_tanh_standard,30.9078,155.0000,0.1983,0.0053
