,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
default,0.9887,0.0007,0.9075,0.0053,0.9072,0.0052,1.2934,0.0074
emb_15_control_relu,0.9909,0.0011,0.9248,0.0053,0.9246,0.0053,1.2653,0.0073
emb_15_control_tanh,0.9921,0.0006,0.9306,0.0025,0.9305,0.0025,1.2567,0.0032
emb_15_control_tanh_failed,0.9923,0.0011,0.9309,0.0030,0.9308,0.0031,1.2568,0.0041
emb_15_relu_alpha,0.9935,0.0009,0.9403,0.0009,0.9402,0.0009,1.2481,0.0010
emb_15_relu_standard,0.9888,0.0009,0.9129,0.0032,0.9126,0.0032,1.2879,0.0045
emb_15_tanh_alpha,0.9904,0.0009,0.9224,0.0037,0.9222,0.0038,1.2716,0.0051
emb_15_tanh_standard,0.9893,0.0013,0.9189,0.0030,0.9187,0.0031,1.2765,0.0041
emb_15_tanh_standard_failed,0.9894,0.0014,0.9193,0.0024,0.9191,0.0024,1.2768,0.0038
emb_30_control_relu,0.9909,0.0016,0.9260,0.0027,0.9258,0.0028,1.2637,0.0039
emb_30_control_tanh,0.9917,0.0007,0.9293,0.0026,0.9292,0.0026,1.2585,0.0043
emb_30_relu_alpha,0.9934,0.0003,0.9394,0.0026,0.9393,0.0025,1.2480,0.0029
emb_30_relu_standard,0.9873,0.0014,0.9137,0.0034,0.9133,0.0034,1.2856,0.0046
emb_30_tanh_alpha,0.9898,0.0015,0.9171,0.0023,0.9169,0.0023,1.2757,0.0029
emb_30_tanh_standard,0.9895,0.0011,0.9162,0.0034,0.9159,0.0035,1.2784,0.0050
emb_70_control_relu,0.9909,0.0013,0.9250,0.0026,0.9248,0.0027,1.2641,0.0033
emb_70_control_tanh,0.9915,0.0014,0.9300,0.0018,0.9299,0.0017,1.2575,0.0016
emb_70_relu_alpha,0.9920,0.0008,0.9326,0.0032,0.9325,0.0032,1.2570,0.0040
emb_70_relu_standard,0.9866,0.0010,0.9093,0.0019,0.9089,0.0019,1.2883,0.0025
emb_70_tanh_alpha,0.9894,0.0008,0.9218,0.0030,0.9215,0.0030,1.2670,0.0034
emb_70_tanh_standard,0.9899,0.0007,0.9192,0.0021,0.9191,0.0021,1.2744,0.0030
