,trainning_time,average_epochs,time_per_epoch,testing_time
default,638.4864,138.0000,4.6072,0.1189
emb_15_control_relu,659.8840,115.0000,5.7271,0.1458
emb_15_control_tanh,680.9192,112.0000,6.0698,0.2810
emb_15_control_tanh_failed,694.0523,121.0000,5.7141,0.1525
emb_15_relu_alpha,636.4776,112.0000,5.6575,0.1508
emb_15_relu_standard,705.5703,126.0000,5.5740,0.1484
emb_15_tanh_alpha,586.7486,105.0000,5.5722,0.1520
emb_15_tanh_standard,823.8531,127.0000,6.4756,0.3150
emb_15_tanh_standard_failed,808.4340,144.0000,5.6069,0.1517
emb_30_control_relu,626.7985,116.0000,5.3728,0.1315
emb_30_control_tanh,494.7785,93.0000,5.3032,0.1331
emb_30_relu_alpha,815.7344,145.0000,5.6139,0.1517
emb_30_relu_standard,864.6719,154.0000,5.6050,0.1531
emb_30_tanh_alpha,332.1402,60.0000,5.4618,0.1494
emb_30_tanh_standard,502.0021,90.0000,5.5228,0.1494
emb_70_control_relu,465.0104,85.0000,5.4620,0.1321
emb_70_control_tanh,523.2801,99.0000,5.2825,0.1328
emb_70_relu_alpha,922.1423,163.0000,5.6383,0.1524
emb_70_relu_standard,687.2308,120.0000,5.7106,0.1546
emb_70_tanh_alpha,412.8395,75.0000,5.4889,0.1504
emb_70_tanh_standard,560.6063,102.0000,5.4908,0.1509
