embedding-model,HO-dim,HO-MSE-mean,HO-MSE-std,CH-dim,CH-AUC-mean,CH-AUC-std,GE-dim,GE-AUC-mean,GE-AUC-std,OT-dim,OT-AUC-mean,OT-AUC-std,SA-dim,SA-AUC-mean,SA-AUC-std,CA-dim,CA-MSE-mean,CA-MSE-std,FB-dim,FB-MSE-mean,FB-MSE-std,AD-dim,AD-AUC-mean,AD-AUC-std,HI-dim,HI-AUC-mean,HI-AUC-std,CO-dim,CO-AUC-mean,CO-AUC-std
default,0,0.042,0.0013,0,0.861,0.0048,0,0.8273,0.0074,0,0.9695,0.0008,0,0.8658,0.0041,0,0.0662,0.0138,0,0.0107,0.0003,0,0.9106,0.0034,0,0.8129,0.0016,0,0.9978,0.0002
ctrl_p_relu,30,0.0447,0.0022,30,0.8546,0.005,30,0.8153,0.0036,30,0.9689,0.0005,30,0.8713,0.005,30,0.0598,0.007,30,0.0103,0.0004,30,0.9093,0.0035,30,0.794,0.0048,30,0.9976,0.0003
ctrl_p_tanh,30,0.0426,0.0015,30,0.863,0.0068,30,0.8162,0.0081,30,0.9694,0.0012,30,0.8609,0.0045,30,0.0633,0.0062,30,0.0107,0.0004,30,0.9058,0.0035,30,0.7907,0.0044,30,0.9975,0.0003
ctrl_lr_relu,29,0.0443,0.0025,53,0.8529,0.0069,12,0.8141,0.0096,69,0.969,0.0016,50,0.8724,0.0035,128,0.0584,0.0091,55,0.0101,0.0004,105,0.9089,0.0028,62,0.7887,0.0041,84,0.9976,0.0004
ctrl_lr_tanh,29,0.0425,0.0013,53,0.864,0.0052,12,0.8115,0.0164,69,0.9694,0.0017,50,0.8606,0.0034,128,0.0677,0.007,55,0.0106,0.0005,105,0.9068,0.0027,62,0.7884,0.0047,84,0.9977,0.0001
ctrl_tlr_relu,72,0.0449,0.002,126,0.8545,0.0057,57,0.8146,0.0135,71,0.9684,0.0007,114,0.8728,0.0036,48,0.057,0.0103,28,0.0104,0.0004,124,0.9083,0.0034,65,0.787,0.0045,20,0.9977,0.0003
ctrl_tlr_tanh,72,0.043,0.0016,126,0.8639,0.0052,57,0.806,0.0205,71,0.9685,0.0013,114,0.8596,0.0037,48,0.085,0.0258,28,0.0106,0.0004,124,0.9065,0.0042,65,0.7884,0.0027,20,0.9975,0.0002
emb_p_relu_alpha,30,0.0478,0.0021,30,0.8501,0.0061,30,0.79,0.0146,30,0.9609,0.0032,30,0.8802,0.0043,30,0.0556,0.0024,30,0.0102,0.0003,30,0.9127,0.0032,30,0.7794,0.0036,30,0.9976,0.0002
emb_p_tanh_alpha,30,0.0506,0.0026,30,0.8484,0.0049,30,0.818,0.0054,30,0.9638,0.0015,30,0.8894,0.0047,30,0.0463,0.0027,30,0.0095,0.0003,30,0.9117,0.003,30,0.7997,0.0033,30,0.9974,0.0007
emb_lr_relu_alpha,29,0.0469,0.0017,53,0.85,0.0066,12,0.8105,0.0137,69,0.9641,0.0016,50,0.8803,0.0038,128,0.0539,0.0035,55,0.0105,0.0004,105,0.9124,0.0027,62,0.7757,0.0039,84,0.9974,0.0004
