,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
ctrl_30p_relu,0.0575,0.0025,0.2397,0.0053,0.7980,0.0090
ctrl_30p_tanh,0.0578,0.0017,0.2405,0.0035,0.7967,0.0058
ctrl_69tlr_relu,0.0587,0.0014,0.2423,0.0028,0.7937,0.0037
ctrl_69tlr_tanh,0.0600,0.0011,0.2450,0.0022,0.7890,0.0068
ctrl_78lr_relu,0.0576,0.0016,0.2399,0.0033,0.7976,0.0057
ctrl_78lr_tanh,0.0618,0.0021,0.2485,0.0042,0.7828,0.0071
default,0.0682,0.0032,0.2612,0.0061,0.7600,0.0137
emb_30p_relu_M_relu_alpha,0.0521,0.0051,0.2280,0.0112,0.8168,0.0187
emb_30p_relu_M_relu_standard,0.0584,0.0023,0.2415,0.0048,0.7948,0.0112
emb_30p_relu_alpha,0.0637,0.0094,0.2517,0.0187,0.7761,0.0335
emb_30p_relu_standard,0.0577,0.0041,0.2400,0.0085,0.7971,0.0157
emb_30p_tanh_M_relu_alpha,0.0525,0.0021,0.2290,0.0045,0.8156,0.0077
emb_30p_tanh_M_relu_standard,0.0566,0.0028,0.2378,0.0059,0.8011,0.0104
emb_30p_tanh_alpha,0.0497,0.0021,0.2229,0.0048,0.8253,0.0065
emb_30p_tanh_standard,0.0591,0.0023,0.2431,0.0048,0.7922,0.0096
emb_69tlr_relu_alpha,0.0667,0.0067,0.2579,0.0133,0.7657,0.0228
emb_69tlr_relu_standard,0.0586,0.0018,0.2420,0.0037,0.7940,0.0065
emb_69tlr_tanh_alpha,0.0512,0.0039,0.2261,0.0085,0.8202,0.0116
emb_69tlr_tanh_standard,0.0614,0.0029,0.2477,0.0057,0.7841,0.0121
emb_71tlrlr_relu_M_relu_alpha,0.0535,0.0063,0.2309,0.0134,0.8119,0.0233
emb_71tlrlr_relu_M_relu_standard,0.0577,0.0040,0.2402,0.0084,0.7970,0.0144
emb_71tlrlr_tanh_M_relu_alpha,0.0502,0.0034,0.2238,0.0076,0.8237,0.0123
emb_71tlrlr_tanh_M_relu_standard,0.0582,0.0036,0.2411,0.0077,0.7954,0.0129
emb_78lr_relu_alpha,0.1526,0.1122,0.3634,0.1431,0.4696,0.3838
emb_78lr_relu_standard,0.0596,0.0043,0.2441,0.0088,0.7903,0.0155
emb_78lr_tanh_alpha,0.0478,0.0021,0.2186,0.0047,0.8318,0.0088
emb_78lr_tanh_standard,0.0607,0.0009,0.2464,0.0018,0.7865,0.0047
emb_93lrlr_relu_M_relu_alpha,0.0525,0.0057,0.2287,0.0121,0.8153,0.0231
emb_93lrlr_relu_M_relu_standard,0.0567,0.0037,0.2379,0.0077,0.8008,0.0144
emb_93lrlr_tanh_M_relu_alpha,0.0501,0.0038,0.2237,0.0086,0.8237,0.0159
emb_93lrlr_tanh_M_relu_standard,0.0584,0.0039,0.2415,0.0082,0.7947,0.0146
