,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
ctrl_30p_relu,0.3460,0.0081,0.8544,0.0085,0.8588,0.0040,0.8588,0.0040
ctrl_30p_tanh,0.3407,0.0087,0.8590,0.0083,0.8610,0.0047,0.8610,0.0047
ctrl_82tlr_relu,0.3457,0.0065,0.8556,0.0063,0.8570,0.0045,0.8570,0.0045
ctrl_82tlr_tanh,0.3410,0.0081,0.8593,0.0072,0.8590,0.0076,0.8590,0.0076
ctrl_91lr_relu,0.3484,0.0085,0.8550,0.0076,0.8575,0.0064,0.8575,0.0064
ctrl_91lr_tanh,0.3434,0.0088,0.8553,0.0099,0.8587,0.0060,0.8587,0.0060
default,0.3432,0.0073,0.8568,0.0082,0.8593,0.0054,0.8593,0.0054
emb_30p_relu_M_relu_alpha,0.3433,0.0091,0.8562,0.0092,0.8597,0.0077,0.8597,0.0077
emb_30p_relu_M_relu_standard,0.3385,0.0083,0.8611,0.0073,0.8606,0.0045,0.8606,0.0045
emb_30p_relu_alpha,0.3484,0.0049,0.8519,0.0058,0.8554,0.0049,0.8554,0.0049
emb_30p_relu_standard,0.3356,0.0080,0.8640,0.0060,0.8626,0.0076,0.8626,0.0076
emb_30p_tanh_M_relu_alpha,0.3450,0.0081,0.8538,0.0084,0.8575,0.0066,0.8575,0.0066
emb_30p_tanh_M_relu_standard,0.3418,0.0094,0.8574,0.0084,0.8594,0.0066,0.8594,0.0066
emb_30p_tanh_alpha,0.3519,0.0076,0.8490,0.0077,0.8541,0.0075,0.8541,0.0075
emb_30p_tanh_standard,0.3388,0.0102,0.8615,0.0103,0.8599,0.0056,0.8599,0.0056
emb_46tlrlr_relu_M_relu_alpha,0.3463,0.0082,0.8528,0.0078,0.8585,0.0057,0.8585,0.0057
emb_46tlrlr_relu_M_relu_standard,0.3397,0.0074,0.8590,0.0078,0.8619,0.0053,0.8619,0.0053
emb_46tlrlr_tanh_M_relu_alpha,0.3454,0.0078,0.8533,0.0081,0.8591,0.0058,0.8591,0.0058
emb_46tlrlr_tanh_M_relu_standard,0.3426,0.0073,0.8563,0.0079,0.8606,0.0050,0.8606,0.0050
emb_82tlr_relu_alpha,0.3488,0.0064,0.8505,0.0064,0.8565,0.0047,0.8565,0.0047
emb_82tlr_relu_standard,0.3430,0.0094,0.8562,0.0087,0.8584,0.0079,0.8584,0.0079
emb_82tlr_tanh_alpha,0.3524,0.0085,0.8484,0.0068,0.8550,0.0076,0.8550,0.0076
emb_82tlr_tanh_standard,0.3462,0.0078,0.8530,0.0084,0.8582,0.0054,0.8582,0.0054
emb_88lrlr_relu_M_relu_alpha,0.3444,0.0073,0.8555,0.0069,0.8580,0.0063,0.8580,0.0063
emb_88lrlr_relu_M_relu_standard,0.3390,0.0064,0.8604,0.0062,0.8603,0.0086,0.8603,0.0086
emb_88lrlr_tanh_M_relu_alpha,0.3445,0.0067,0.8540,0.0084,0.8597,0.0089,0.8597,0.0089
emb_88lrlr_tanh_M_relu_standard,0.3440,0.0074,0.8548,0.0079,0.8581,0.0055,0.8581,0.0055
emb_91lr_relu_alpha,0.3555,0.0093,0.8450,0.0075,0.8537,0.0039,0.8537,0.0039
emb_91lr_relu_standard,0.3403,0.0126,0.8577,0.0113,0.8598,0.0070,0.8598,0.0070
emb_91lr_tanh_alpha,0.3520,0.0068,0.8487,0.0075,0.8546,0.0049,0.8546,0.0049
emb_91lr_tanh_standard,0.3464,0.0079,0.8529,0.0078,0.8576,0.0059,0.8576,0.0059
