,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_100lr_relu,1525.3111,109.0000,13.9552,0.2430
ctrl_100lr_tanh,671.4740,48.0000,13.9864,0.2446
ctrl_11tlr_relu,995.6370,98.0000,10.1494,0.1954
ctrl_11tlr_tanh,679.1922,65.0000,10.3516,0.2234
ctrl_30p_relu,1089.2316,101.0000,10.7697,0.1896
ctrl_30p_tanh,605.4307,55.0000,10.8714,0.1952
default,902.0561,100.0000,8.9331,0.1718
emb_100lr_relu_alpha,3144.0885,228.0000,13.7680,0.2549
emb_100lr_relu_standard,3017.3435,216.0000,13.9253,0.2690
emb_100lr_tanh_alpha,475.1547,34.0000,13.8101,0.2573
emb_100lr_tanh_standard,2191.2612,156.0000,14.0152,0.2724
emb_107tlrlr_relu_M_relu_alpha,1896.6851,115.0000,16.3703,0.3449
emb_107tlrlr_relu_M_relu_standard,3451.5165,147.0000,23.3420,0.4430
emb_107tlrlr_tanh_M_relu_alpha,1375.9691,80.0000,17.0262,0.3705
emb_107tlrlr_tanh_M_relu_standard,1631.1449,99.0000,16.4135,0.3621
emb_11tlr_relu_alpha,1656.9288,160.0000,10.3539,0.2161
emb_11tlr_relu_standard,1703.1139,164.0000,10.3425,0.2171
emb_11tlr_tanh_alpha,2302.4307,224.0000,10.2475,0.2072
emb_11tlr_tanh_standard,1511.3920,129.0000,11.6454,0.2195
emb_30p_relu_M_relu_alpha,1349.6932,101.0000,13.2402,0.3095
emb_30p_relu_M_relu_standard,1642.3107,129.0000,12.6698,0.2939
emb_30p_relu_alpha,2030.5719,181.0000,11.1893,0.2171
emb_30p_relu_standard,2336.3775,207.0000,11.2826,0.2175
emb_30p_tanh_M_relu_alpha,969.0447,74.0000,12.9944,0.3006
emb_30p_tanh_M_relu_standard,2031.1717,122.0000,16.5915,0.3408
emb_30p_tanh_alpha,522.9554,46.0000,11.1531,0.2098
emb_30p_tanh_standard,1564.2044,124.0000,12.5797,0.2356
emb_96lrlr_relu_M_relu_alpha,2029.0503,128.0000,15.8292,0.3399
emb_96lrlr_relu_M_relu_standard,3013.5968,134.0000,22.4719,0.4303
emb_96lrlr_tanh_M_relu_alpha,1293.0627,79.0000,16.3235,0.3548
emb_96lrlr_tanh_M_relu_standard,1988.0951,124.0000,15.9682,0.3447
