,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
ctrl_30p_relu,0.0115,0.0004,0.1071,0.0020,0.7351,0.0019
ctrl_30p_tanh,0.0117,0.0007,0.1082,0.0033,0.7293,0.0120
ctrl_57tlr_relu,0.0115,0.0003,0.1072,0.0012,0.7341,0.0060
ctrl_57tlr_tanh,0.0112,0.0004,0.1058,0.0017,0.7412,0.0029
ctrl_77lr_relu,0.0115,0.0005,0.1074,0.0023,0.7333,0.0069
ctrl_77lr_tanh,0.0113,0.0005,0.1064,0.0024,0.7383,0.0050
default,0.0115,0.0006,0.1071,0.0028,0.7350,0.0083
emb_117tlrlr_relu_M_relu_alpha,0.0088,0.0003,0.0941,0.0014,0.7953,0.0096
emb_117tlrlr_relu_M_relu_standard,0.0103,0.0002,0.1014,0.0011,0.7622,0.0080
emb_117tlrlr_tanh_M_relu_alpha,0.0088,0.0003,0.0937,0.0017,0.7969,0.0061
emb_117tlrlr_tanh_M_relu_standard,0.0103,0.0002,0.1017,0.0011,0.7611,0.0057
emb_30p_relu_M_relu_alpha,0.0101,0.0006,0.1007,0.0030,0.7651,0.0198
emb_30p_relu_M_relu_standard,0.0099,0.0005,0.0996,0.0023,0.7706,0.0109
emb_30p_relu_alpha,0.0108,0.0003,0.1041,0.0015,0.7492,0.0131
emb_30p_relu_standard,0.0108,0.0006,0.1041,0.0028,0.7497,0.0091
emb_30p_tanh_M_relu_alpha,0.0096,0.0004,0.0978,0.0019,0.7788,0.0096
emb_30p_tanh_M_relu_standard,0.0100,0.0003,0.1000,0.0017,0.7689,0.0080
emb_30p_tanh_alpha,0.0098,0.0004,0.0987,0.0018,0.7745,0.0101
emb_30p_tanh_standard,0.0108,0.0001,0.1040,0.0004,0.7499,0.0094
emb_57tlr_relu_alpha,0.0108,0.0002,0.1040,0.0011,0.7499,0.0060
emb_57tlr_relu_standard,0.0104,0.0002,0.1020,0.0010,0.7593,0.0086
emb_57tlr_tanh_alpha,0.0094,0.0003,0.0971,0.0015,0.7818,0.0084
emb_57tlr_tanh_standard,0.0106,0.0003,0.1028,0.0014,0.7559,0.0058
emb_77lr_relu_alpha,0.0110,0.0005,0.1049,0.0023,0.7457,0.0052
emb_77lr_relu_standard,0.0104,0.0004,0.1019,0.0019,0.7596,0.0104
emb_77lr_tanh_alpha,0.0098,0.0002,0.0992,0.0012,0.7726,0.0057
emb_77lr_tanh_standard,0.0110,0.0003,0.1051,0.0017,0.7446,0.0087
emb_89lrlr_relu_M_relu_alpha,0.0095,0.0004,0.0975,0.0020,0.7801,0.0141
emb_89lrlr_relu_M_relu_standard,0.0103,0.0003,0.1013,0.0016,0.7630,0.0050
emb_89lrlr_tanh_M_relu_alpha,0.0091,0.0004,0.0954,0.0023,0.7895,0.0104
emb_89lrlr_tanh_M_relu_standard,0.0103,0.0003,0.1014,0.0013,0.7624,0.0061
