,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_30p_relu,211.0441,104.0000,2.0134,0.0409
ctrl_30p_tanh,153.2860,74.0000,2.0599,0.0411
ctrl_57tlr_relu,226.2920,96.0000,2.3450,0.0488
ctrl_57tlr_tanh,227.9568,95.0000,2.3900,0.0484
ctrl_77lr_relu,236.7604,91.0000,2.5819,0.0507
ctrl_77lr_tanh,218.7431,84.0000,2.5888,0.0513
default,177.1949,113.0000,1.5661,0.0316
emb_117tlrlr_relu_M_relu_alpha,188.3843,49.0000,3.8096,0.0903
emb_117tlrlr_relu_M_relu_standard,418.9393,84.0000,4.9393,0.1087
emb_117tlrlr_tanh_M_relu_alpha,226.4621,57.0000,3.9308,0.0971
emb_117tlrlr_tanh_M_relu_standard,257.6061,67.0000,3.8418,0.0940
emb_30p_relu_M_relu_alpha,174.9810,64.0000,2.7132,0.0747
emb_30p_relu_M_relu_standard,333.3117,126.0000,2.6364,0.0725
emb_30p_relu_alpha,176.1670,82.0000,2.1292,0.0491
emb_30p_relu_standard,225.0757,105.0000,2.1310,0.0490
emb_30p_tanh_M_relu_alpha,151.9345,56.0000,2.6972,0.0751
emb_30p_tanh_M_relu_standard,341.6951,104.0000,3.2698,0.0747
emb_30p_tanh_alpha,156.3863,72.0000,2.1525,0.0484
emb_30p_tanh_standard,247.6825,116.0000,2.1260,0.0478
emb_57tlr_relu_alpha,258.2321,108.0000,2.3695,0.0530
emb_57tlr_relu_standard,354.9915,149.0000,2.3775,0.0559
emb_57tlr_tanh_alpha,168.2756,70.0000,2.3736,0.0526
emb_57tlr_tanh_standard,344.2181,144.0000,2.3767,0.0557
emb_77lr_relu_alpha,331.0138,127.0000,2.5888,0.0562
emb_77lr_relu_standard,422.1397,162.0000,2.5963,0.0593
emb_77lr_tanh_alpha,184.2338,71.0000,2.5755,0.0553
emb_77lr_tanh_standard,247.1531,94.0000,2.6132,0.0591
emb_89lrlr_relu_M_relu_alpha,173.4888,50.0000,3.4091,0.0848
emb_89lrlr_relu_M_relu_standard,381.0806,80.0000,4.7061,0.1079
emb_89lrlr_tanh_M_relu_alpha,181.5908,51.0000,3.5240,0.0893
emb_89lrlr_tanh_M_relu_standard,278.7512,81.0000,3.4356,0.0917
