,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
ctrl_114lr_relu,0.7895,0.0095,0.5402,0.0145,0.5070,0.0165,1.4148,0.0114
ctrl_114lr_tanh,0.7924,0.0165,0.5423,0.0160,0.5067,0.0216,1.4195,0.0226
ctrl_30p_relu,0.7932,0.0128,0.5456,0.0152,0.5143,0.0237,1.4117,0.0143
ctrl_30p_tanh,0.7947,0.0092,0.5453,0.0124,0.5186,0.0177,1.4107,0.0112
ctrl_76tlr_relu,0.7891,0.0130,0.5340,0.0102,0.4963,0.0112,1.4209,0.0136
ctrl_76tlr_tanh,0.7923,0.0058,0.5372,0.0036,0.5017,0.0056,1.4125,0.0060
default,0.7954,0.0112,0.5473,0.0180,0.5229,0.0196,1.4113,0.0125
emb_114lr_relu_alpha,0.7714,0.0109,0.5145,0.0176,0.4751,0.0204,1.4422,0.0064
emb_114lr_relu_standard,0.6905,0.1095,0.4300,0.1073,0.3413,0.1666,1.4924,0.0687
emb_114lr_tanh_alpha,0.8055,0.0086,0.5595,0.0070,0.5358,0.0108,1.4010,0.0113
emb_114lr_tanh_standard,0.6255,0.0900,0.3392,0.0976,0.2110,0.1474,1.5461,0.0586
emb_114lrlr_relu_M_relu_alpha,0.7891,0.0108,0.5206,0.0075,0.4936,0.0161,1.4261,0.0083
emb_114lrlr_relu_M_relu_standard,0.7955,0.0085,0.5416,0.0114,0.5137,0.0147,1.4110,0.0090
emb_114lrlr_tanh_M_relu_alpha,0.8102,0.0088,0.5587,0.0094,0.5379,0.0169,1.4033,0.0081
emb_114lrlr_tanh_M_relu_standard,0.7817,0.0151,0.5199,0.0131,0.4857,0.0183,1.4282,0.0176
emb_121tlrlr_relu_M_relu_alpha,0.7900,0.0061,0.5256,0.0131,0.4941,0.0178,1.4296,0.0142
emb_121tlrlr_relu_M_relu_standard,0.7792,0.0081,0.5203,0.0087,0.4886,0.0156,1.4297,0.0174
emb_121tlrlr_tanh_M_relu_alpha,0.8103,0.0154,0.5713,0.0215,0.5496,0.0257,1.3807,0.0201
emb_121tlrlr_tanh_M_relu_standard,0.7821,0.0091,0.5210,0.0127,0.4906,0.0193,1.4239,0.0095
emb_30p_relu_M_relu_alpha,0.8013,0.0066,0.5466,0.0100,0.5248,0.0151,1.4082,0.0092
emb_30p_relu_M_relu_standard,0.6181,0.1459,0.3939,0.1165,0.2876,0.1839,1.5099,0.0839
emb_30p_relu_alpha,0.7745,0.0081,0.5162,0.0079,0.4762,0.0097,1.4408,0.0092
emb_30p_relu_standard,0.7746,0.0151,0.5189,0.0139,0.4805,0.0188,1.4349,0.0130
emb_30p_tanh_M_relu_alpha,0.8099,0.0075,0.5662,0.0171,0.5461,0.0189,1.3863,0.0176
emb_30p_tanh_M_relu_standard,0.7955,0.0110,0.5282,0.0119,0.5002,0.0232,1.4226,0.0106
emb_30p_tanh_alpha,0.8052,0.0068,0.5541,0.0080,0.5276,0.0108,1.4001,0.0066
emb_30p_tanh_standard,0.7827,0.0077,0.5228,0.0130,0.4928,0.0141,1.4301,0.0106
emb_76tlr_relu_alpha,0.7712,0.0082,0.5181,0.0085,0.4766,0.0114,1.4435,0.0095
emb_76tlr_relu_standard,0.7147,0.1002,0.4677,0.0879,0.3884,0.1372,1.4701,0.0590
emb_76tlr_tanh_alpha,0.8052,0.0080,0.5615,0.0092,0.5372,0.0140,1.4012,0.0149
emb_76tlr_tanh_standard,0.7582,0.0279,0.5005,0.0191,0.4477,0.0533,1.4501,0.0241
