,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
ctrl_30p_relu,0.6078,0.0041,0.7296,0.0058,0.6673,0.0044,0.6673,0.0044
ctrl_30p_tanh,0.5853,0.0040,0.7584,0.0042,0.6903,0.0048,0.6903,0.0048
ctrl_55tlr_relu,0.6068,0.0060,0.7321,0.0087,0.6708,0.0068,0.6708,0.0068
ctrl_55tlr_tanh,0.5880,0.0054,0.7555,0.0054,0.6902,0.0037,0.6902,0.0037
ctrl_77lr_relu,0.6091,0.0023,0.7286,0.0023,0.6671,0.0028,0.6671,0.0028
ctrl_77lr_tanh,0.5925,0.0075,0.7489,0.0081,0.6819,0.0070,0.6819,0.0070
default,0.5990,0.0062,0.7392,0.0085,0.6739,0.0060,0.6739,0.0060
emb_124lrlr_relu_M_relu_alpha,0.6074,0.0687,0.6766,0.1442,0.6408,0.0917,0.6408,0.0917
emb_124lrlr_relu_M_relu_standard,0.6255,0.0357,0.6845,0.0945,0.6415,0.0582,0.6415,0.0582
emb_124lrlr_tanh_M_relu_alpha,0.5503,0.0041,0.7944,0.0036,0.7163,0.0039,0.7163,0.0039
emb_124lrlr_tanh_M_relu_standard,0.5987,0.0228,0.7416,0.0306,0.6789,0.0230,0.6789,0.0230
emb_30p_relu_M_relu_alpha,0.5453,0.0036,0.7990,0.0030,0.7195,0.0024,0.7195,0.0024
emb_30p_relu_M_relu_standard,0.6915,0.0000,0.5000,0.0000,0.5286,0.0000,0.5286,0.0000
emb_30p_relu_alpha,0.5994,0.0510,0.7132,0.1095,0.6659,0.0702,0.6659,0.0702
emb_30p_relu_standard,0.6671,0.0489,0.5554,0.1107,0.5636,0.0700,0.5636,0.0700
emb_30p_tanh_M_relu_alpha,0.5461,0.0035,0.7987,0.0032,0.7209,0.0040,0.7209,0.0040
emb_30p_tanh_M_relu_standard,0.6168,0.0613,0.6681,0.1374,0.6353,0.0872,0.6353,0.0872
emb_30p_tanh_alpha,0.5836,0.0119,0.7619,0.0113,0.6904,0.0035,0.6904,0.0035
emb_30p_tanh_standard,0.6915,0.0000,0.5000,0.0000,0.5286,0.0000,0.5286,0.0000
emb_55tlr_relu_alpha,0.6915,0.0000,0.4999,0.0001,0.5286,0.0000,0.5286,0.0000
emb_55tlr_relu_standard,0.6915,0.0000,0.5000,0.0000,0.5286,0.0000,0.5286,0.0000
emb_55tlr_tanh_alpha,0.5777,0.0089,0.7718,0.0077,0.6971,0.0067,0.6971,0.0067
emb_55tlr_tanh_standard,0.6915,0.0000,0.5000,0.0000,0.5286,0.0000,0.5286,0.0000
emb_70tlrlr_relu_M_relu_alpha,0.5493,0.0040,0.7966,0.0025,0.7173,0.0025,0.7173,0.0025
emb_70tlrlr_relu_M_relu_standard,0.6680,0.0288,0.5790,0.0967,0.5747,0.0565,0.5747,0.0565
emb_70tlrlr_tanh_M_relu_alpha,0.5473,0.0055,0.7966,0.0044,0.7178,0.0045,0.7178,0.0045
emb_70tlrlr_tanh_M_relu_standard,0.6438,0.0404,0.6354,0.1117,0.6111,0.0679,0.6111,0.0679
emb_77lr_relu_alpha,0.6804,0.0165,0.5429,0.0603,0.5595,0.0419,0.5595,0.0419
emb_77lr_relu_standard,0.6915,0.0000,0.5000,0.0000,0.5286,0.0000,0.5286,0.0000
emb_77lr_tanh_alpha,0.5933,0.0123,0.7512,0.0142,0.6923,0.0048,0.6923,0.0048
emb_77lr_tanh_standard,0.6642,0.0547,0.5579,0.1158,0.5656,0.0740,0.5656,0.0740
