,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_30p_relu,38.3531,40.0000,0.9472,0.0203
ctrl_30p_tanh,70.6848,74.0000,0.9437,0.0201
ctrl_55tlr_relu,39.6337,40.0000,0.9866,0.0213
ctrl_55tlr_tanh,74.1252,75.0000,0.9833,0.0215
ctrl_77lr_relu,39.9979,40.0000,0.9956,0.0216
ctrl_77lr_tanh,74.5118,75.0000,0.9843,0.0217
default,44.9235,54.0000,0.8207,0.0172
emb_124lrlr_relu_M_relu_alpha,81.9189,61.0000,1.3399,0.0384
emb_124lrlr_relu_M_relu_standard,118.0481,60.0000,1.9616,0.0523
emb_124lrlr_tanh_M_relu_alpha,81.9243,59.0000,1.3872,0.0395
emb_124lrlr_tanh_M_relu_standard,101.0373,74.0000,1.3576,0.0387
emb_30p_relu_M_relu_alpha,74.8000,56.0000,1.3239,0.0385
emb_30p_relu_M_relu_standard,29.7694,23.0000,1.2917,0.0374
emb_30p_relu_alpha,119.9107,116.0000,1.0291,0.0244
emb_30p_relu_standard,44.8820,44.0000,1.0160,0.0244
emb_30p_tanh_M_relu_alpha,84.5332,63.0000,1.3371,0.0389
emb_30p_tanh_M_relu_standard,65.8107,50.0000,1.2971,0.0374
emb_30p_tanh_alpha,31.0619,30.0000,1.0215,0.0245
emb_30p_tanh_standard,32.7227,32.0000,1.0072,0.0241
emb_55tlr_relu_alpha,34.9356,34.0000,1.0248,0.0236
emb_55tlr_relu_standard,24.6605,24.0000,1.0137,0.0240
emb_55tlr_tanh_alpha,37.6008,37.0000,0.9955,0.0235
emb_55tlr_tanh_standard,26.3075,26.0000,1.0084,0.0240
emb_70tlrlr_relu_M_relu_alpha,65.0381,48.0000,1.3280,0.0383
emb_70tlrlr_relu_M_relu_standard,78.8014,36.0000,2.1407,0.0522
emb_70tlrlr_tanh_M_relu_alpha,64.0966,46.0000,1.3762,0.0389
emb_70tlrlr_tanh_M_relu_standard,57.4801,42.0000,1.3501,0.0397
emb_77lr_relu_alpha,30.1421,29.0000,1.0180,0.0244
emb_77lr_relu_standard,26.2649,25.0000,1.0130,0.0238
emb_77lr_tanh_alpha,41.3961,41.0000,0.9872,0.0236
emb_77lr_tanh_standard,48.8812,48.0000,1.0013,0.0251
