,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_15tlr_relu,65.0762,95.0000,0.6808,0.0171
ctrl_15tlr_tanh,36.3147,54.0000,0.6691,0.0174
ctrl_30p_relu,61.3130,79.0000,0.7721,0.0172
ctrl_30p_tanh,37.2013,47.0000,0.7771,0.0167
ctrl_74lr_relu,87.7918,75.0000,1.1691,0.0232
ctrl_74lr_tanh,59.7095,51.0000,1.1654,0.0237
default,45.4073,89.0000,0.5082,0.0138
emb_111tlrlr_relu_M_relu_alpha,54.2780,29.0000,1.8129,0.0429
emb_111tlrlr_relu_M_relu_standard,195.0321,83.0000,2.3336,0.0521
emb_111tlrlr_tanh_M_relu_alpha,53.5362,28.0000,1.8576,0.0443
emb_111tlrlr_tanh_M_relu_standard,131.7504,72.0000,1.8085,0.0446
emb_13lrlr_relu_M_relu_alpha,50.5841,59.0000,0.8562,0.0275
emb_13lrlr_relu_M_relu_standard,149.0929,121.0000,1.2269,0.0397
emb_13lrlr_tanh_M_relu_alpha,41.5552,46.0000,0.8888,0.0287
emb_13lrlr_tanh_M_relu_standard,111.3522,127.0000,0.8748,0.0295
emb_15tlr_relu_alpha,25.2411,36.0000,0.6945,0.0180
emb_15tlr_relu_standard,143.7001,207.0000,0.6936,0.0197
emb_15tlr_tanh_alpha,75.1655,109.0000,0.6864,0.0186
emb_15tlr_tanh_standard,167.0965,240.0000,0.6958,0.0193
emb_30p_relu_M_relu_alpha,37.2517,37.0000,0.9817,0.0278
emb_30p_relu_M_relu_standard,87.0258,90.0000,0.9620,0.0274
emb_30p_relu_alpha,24.1319,30.0000,0.7933,0.0188
emb_30p_relu_standard,171.0325,216.0000,0.7901,0.0191
emb_30p_tanh_M_relu_alpha,32.8456,33.0000,0.9910,0.0286
emb_30p_tanh_M_relu_standard,72.9160,74.0000,0.9731,0.0273
emb_30p_tanh_alpha,75.0400,94.0000,0.7957,0.0192
emb_30p_tanh_standard,192.1056,240.0000,0.7999,0.0195
emb_74lr_relu_alpha,30.9359,27.0000,1.1433,0.0248
emb_74lr_relu_standard,267.4846,235.0000,1.1342,0.0262
emb_74lr_tanh_alpha,91.1292,81.0000,1.1248,0.0250
emb_74lr_tanh_standard,275.5348,240.0000,1.1473,0.0269
