,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
ctrl_105lr_relu,0.3131,0.0057,0.9089,0.0028,0.8538,0.0026,0.8538,0.0026
ctrl_105lr_tanh,0.3176,0.0051,0.9068,0.0027,0.8527,0.0016,0.8527,0.0016
ctrl_124tlr_relu,0.3141,0.0062,0.9083,0.0034,0.8533,0.0032,0.8533,0.0032
ctrl_124tlr_tanh,0.3178,0.0072,0.9065,0.0042,0.8509,0.0032,0.8509,0.0032
ctrl_30p_relu,0.3126,0.0067,0.9093,0.0035,0.8548,0.0024,0.8548,0.0024
ctrl_30p_tanh,0.3202,0.0065,0.9058,0.0035,0.8515,0.0032,0.8515,0.0032
default,0.3103,0.0072,0.9106,0.0034,0.8543,0.0040,0.8543,0.0040
emb_105lr_relu_M_relu_alpha,0.3011,0.0050,0.9143,0.0027,0.8591,0.0035,0.8591,0.0035
emb_105lr_relu_M_relu_standard,0.3039,0.0069,0.9133,0.0034,0.8584,0.0037,0.8584,0.0037
emb_105lr_relu_alpha,0.3039,0.0051,0.9124,0.0027,0.8570,0.0027,0.8570,0.0027
emb_105lr_relu_standard,0.3051,0.0057,0.9131,0.0028,0.8592,0.0019,0.8592,0.0019
emb_105lr_tanh_M_relu_alpha,0.2955,0.0043,0.9174,0.0024,0.8624,0.0024,0.8624,0.0024
emb_105lr_tanh_M_relu_standard,0.3060,0.0060,0.9124,0.0026,0.8578,0.0026,0.8578,0.0026
emb_105lr_tanh_alpha,0.3034,0.0054,0.9129,0.0028,0.8584,0.0042,0.8584,0.0042
emb_105lr_tanh_standard,0.3084,0.0049,0.9114,0.0025,0.8562,0.0026,0.8562,0.0026
emb_124tlr_relu_M_relu_alpha,0.3003,0.0054,0.9145,0.0029,0.8595,0.0029,0.8595,0.0029
emb_124tlr_relu_M_relu_standard,0.3057,0.0054,0.9128,0.0025,0.8572,0.0022,0.8572,0.0022
emb_124tlr_relu_alpha,0.3047,0.0055,0.9119,0.0031,0.8569,0.0026,0.8569,0.0026
emb_124tlr_relu_standard,0.3085,0.0046,0.9114,0.0024,0.8558,0.0014,0.8558,0.0014
emb_124tlr_tanh_M_relu_alpha,0.2976,0.0041,0.9163,0.0020,0.8609,0.0018,0.8609,0.0018
emb_124tlr_tanh_M_relu_standard,0.3061,0.0043,0.9123,0.0021,0.8572,0.0016,0.8572,0.0016
emb_124tlr_tanh_alpha,0.3029,0.0047,0.9131,0.0023,0.8582,0.0041,0.8582,0.0041
emb_124tlr_tanh_standard,0.3090,0.0043,0.9107,0.0021,0.8562,0.0020,0.8562,0.0020
emb_30p_relu_M_relu_alpha,0.3004,0.0062,0.9148,0.0031,0.8610,0.0034,0.8610,0.0034
emb_30p_relu_M_relu_standard,0.3092,0.0056,0.9111,0.0027,0.8549,0.0017,0.8549,0.0017
emb_30p_relu_alpha,0.3043,0.0071,0.9127,0.0032,0.8566,0.0029,0.8566,0.0029
emb_30p_relu_standard,0.3073,0.0054,0.9119,0.0027,0.8579,0.0014,0.8579,0.0014
emb_30p_tanh_M_relu_alpha,0.2993,0.0043,0.9158,0.0022,0.8603,0.0019,0.8603,0.0019
emb_30p_tanh_M_relu_standard,0.3067,0.0063,0.9121,0.0030,0.8564,0.0030,0.8564,0.0030
emb_30p_tanh_alpha,0.3064,0.0056,0.9117,0.0030,0.8571,0.0042,0.8571,0.0042
emb_30p_tanh_standard,0.3068,0.0051,0.9120,0.0026,0.8569,0.0020,0.8569,0.0020
