,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_126tlr_relu,7.6224,27.0000,0.2813,0.0070
ctrl_126tlr_tanh,13.3832,48.0000,0.2775,0.0070
ctrl_30p_relu,7.8002,28.0000,0.2717,0.0069
ctrl_30p_tanh,14.6763,38.0000,0.3792,0.0093
ctrl_53lr_relu,8.1157,28.0000,0.2892,0.0076
ctrl_53lr_tanh,11.6735,42.0000,0.2752,0.0069
default,10.4127,39.0000,0.2614,0.0066
emb_126tlr_relu_M_relu_alpha,8.8588,24.0000,0.3590,0.0103
emb_126tlr_relu_M_relu_standard,19.8196,45.0000,0.4358,0.0091
emb_126tlr_relu_alpha,8.3450,28.0000,0.2891,0.0075
emb_126tlr_relu_standard,9.1744,31.0000,0.2917,0.0076
emb_126tlr_tanh_M_relu_alpha,12.6804,28.0000,0.4392,0.0107
emb_126tlr_tanh_M_relu_standard,22.3018,41.0000,0.5402,0.0135
emb_126tlr_tanh_alpha,6.1408,21.0000,0.2841,0.0073
emb_126tlr_tanh_standard,8.7853,30.0000,0.2882,0.0075
emb_30p_relu_M_relu_alpha,8.0232,25.0000,0.3189,0.0096
emb_30p_relu_M_relu_standard,23.4202,42.0000,0.5521,0.0127
emb_30p_relu_alpha,7.4457,26.0000,0.2850,0.0075
emb_30p_relu_standard,12.9564,37.0000,0.3478,0.0088
emb_30p_tanh_M_relu_alpha,8.0385,25.0000,0.3195,0.0094
emb_30p_tanh_M_relu_standard,13.8947,41.0000,0.3365,0.0095
emb_30p_tanh_alpha,6.4685,22.0000,0.2844,0.0075
emb_30p_tanh_standard,10.1438,35.0000,0.2872,0.0074
emb_53lr_relu_M_relu_alpha,8.3708,26.0000,0.3146,0.0089
emb_53lr_relu_M_relu_standard,19.3108,48.0000,0.4018,0.0102
emb_53lr_relu_alpha,7.7057,26.0000,0.2861,0.0076
emb_53lr_relu_standard,10.9487,38.0000,0.2864,0.0075
emb_53lr_tanh_M_relu_alpha,8.3583,25.0000,0.3301,0.0089
emb_53lr_tanh_M_relu_standard,12.0203,36.0000,0.3269,0.0094
emb_53lr_tanh_alpha,6.4832,22.0000,0.2831,0.0074
emb_53lr_tanh_standard,9.7793,34.0000,0.2820,0.0075
