,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
ctrl_29lr_relu,0.0443,0.0025,0.2105,0.0059,0.7203,0.0168
ctrl_29lr_tanh,0.0425,0.0013,0.2062,0.0031,0.7317,0.0118
ctrl_30p_relu,0.0447,0.0022,0.2114,0.0052,0.7180,0.0117
ctrl_30p_tanh,0.0426,0.0015,0.2063,0.0036,0.7315,0.0076
ctrl_72tlr_relu,0.0449,0.0020,0.2117,0.0046,0.7171,0.0104
ctrl_72tlr_tanh,0.0430,0.0016,0.2074,0.0040,0.7283,0.0146
default,0.0420,0.0013,0.2048,0.0031,0.7352,0.0109
emb_29lr_relu_M_relu_alpha,0.0467,0.0016,0.2162,0.0036,0.7049,0.0175
emb_29lr_relu_M_relu_standard,0.0427,0.0026,0.2065,0.0063,0.7303,0.0209
emb_29lr_relu_alpha,0.0469,0.0017,0.2165,0.0039,0.7039,0.0161
emb_29lr_relu_standard,0.0411,0.0010,0.2028,0.0024,0.7404,0.0104
emb_29lr_tanh_M_relu_alpha,0.0489,0.0042,0.2208,0.0095,0.6914,0.0322
emb_29lr_tanh_M_relu_standard,0.0424,0.0017,0.2059,0.0042,0.7323,0.0144
emb_29lr_tanh_alpha,0.0486,0.0018,0.2203,0.0042,0.6936,0.0148
emb_29lr_tanh_standard,0.0417,0.0013,0.2042,0.0033,0.7369,0.0112
emb_30p_relu_M_relu_alpha,0.0455,0.0044,0.2130,0.0101,0.7129,0.0300
emb_30p_relu_M_relu_standard,0.0463,0.0064,0.2147,0.0144,0.7084,0.0357
emb_30p_relu_alpha,0.0478,0.0021,0.2187,0.0049,0.6976,0.0234
emb_30p_relu_standard,0.0416,0.0019,0.2039,0.0048,0.7379,0.0076
emb_30p_tanh_M_relu_alpha,0.0516,0.0025,0.2271,0.0054,0.6747,0.0086
emb_30p_tanh_M_relu_standard,0.0419,0.0015,0.2048,0.0035,0.7353,0.0138
emb_30p_tanh_alpha,0.0506,0.0026,0.2249,0.0057,0.6804,0.0250
emb_30p_tanh_standard,0.0420,0.0020,0.2048,0.0049,0.7351,0.0156
emb_72tlr_relu_M_relu_alpha,0.0434,0.0014,0.2082,0.0035,0.7263,0.0138
emb_72tlr_relu_M_relu_standard,0.0444,0.0045,0.2103,0.0107,0.7212,0.0163
emb_72tlr_relu_alpha,0.0466,0.0017,0.2159,0.0039,0.7059,0.0128
emb_72tlr_relu_standard,0.0412,0.0014,0.2029,0.0036,0.7403,0.0065
emb_72tlr_tanh_M_relu_alpha,0.0489,0.0028,0.2210,0.0062,0.6919,0.0097
emb_72tlr_tanh_M_relu_standard,0.0441,0.0022,0.2099,0.0053,0.7222,0.0087
emb_72tlr_tanh_alpha,0.0475,0.0036,0.2178,0.0081,0.7008,0.0145
emb_72tlr_tanh_standard,0.0416,0.0013,0.2039,0.0032,0.7376,0.0092
