,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_29lr_relu,35.4217,70.0000,0.5010,0.0136
ctrl_29lr_tanh,38.4016,81.0000,0.4686,0.0124
ctrl_30p_relu,34.6844,71.0000,0.4818,0.0133
ctrl_30p_tanh,51.8777,86.0000,0.5979,0.0134
ctrl_72tlr_relu,32.9139,68.0000,0.4831,0.0129
ctrl_72tlr_tanh,38.7353,82.0000,0.4718,0.0126
default,39.3417,87.0000,0.4509,0.0120
emb_29lr_relu_M_relu_alpha,40.6832,65.0000,0.6206,0.0182
emb_29lr_relu_M_relu_standard,51.6200,61.0000,0.8455,0.0210
emb_29lr_relu_alpha,34.5452,71.0000,0.4842,0.0136
emb_29lr_relu_standard,38.7372,79.0000,0.4871,0.0138
emb_29lr_tanh_M_relu_alpha,29.8505,44.0000,0.6731,0.0183
emb_29lr_tanh_M_relu_standard,40.0904,72.0000,0.5545,0.0170
emb_29lr_tanh_alpha,25.1018,52.0000,0.4822,0.0134
emb_29lr_tanh_standard,40.2042,83.0000,0.4821,0.0136
emb_30p_relu_M_relu_alpha,36.8474,66.0000,0.5580,0.0169
emb_30p_relu_M_relu_standard,34.2915,61.0000,0.5587,0.0170
emb_30p_relu_alpha,38.9910,79.0000,0.4932,0.0140
emb_30p_relu_standard,43.1427,88.0000,0.4856,0.0136
emb_30p_tanh_M_relu_alpha,28.6300,51.0000,0.5603,0.0170
emb_30p_tanh_M_relu_standard,51.0446,78.0000,0.6537,0.0171
emb_30p_tanh_alpha,24.6589,50.0000,0.4919,0.0137
emb_30p_tanh_standard,37.3891,74.0000,0.5015,0.0136
emb_72tlr_relu_M_relu_alpha,37.0141,54.0000,0.6816,0.0192
emb_72tlr_relu_M_relu_standard,63.3945,76.0000,0.8254,0.0214
emb_72tlr_relu_alpha,36.5888,74.0000,0.4887,0.0138
emb_72tlr_relu_standard,35.6681,72.0000,0.4944,0.0138
emb_72tlr_tanh_M_relu_alpha,21.4163,37.0000,0.5648,0.0173
emb_72tlr_tanh_M_relu_standard,78.0512,77.0000,1.0037,0.0218
emb_72tlr_tanh_alpha,18.9166,39.0000,0.4825,0.0133
emb_72tlr_tanh_standard,41.0631,83.0000,0.4915,0.0140
