,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
ctrl_30p_relu,0.9689,0.0005,0.8069,0.0049,0.8027,0.0048,1.6059,0.0054
ctrl_30p_tanh,0.9694,0.0012,0.8081,0.0036,0.8040,0.0034,1.6052,0.0040
ctrl_69lr_relu,0.9690,0.0016,0.8097,0.0028,0.8063,0.0037,1.6027,0.0040
ctrl_69lr_tanh,0.9694,0.0017,0.8094,0.0040,0.8053,0.0042,1.6037,0.0020
ctrl_71tlr_relu,0.9684,0.0007,0.8074,0.0049,0.8020,0.0053,1.6032,0.0037
ctrl_71tlr_tanh,0.9685,0.0013,0.8072,0.0038,0.8038,0.0046,1.6062,0.0043
default,0.9695,0.0008,0.8100,0.0034,0.8065,0.0029,1.6007,0.0046
emb_30p_relu_M_relu_alpha,0.9624,0.0020,0.7888,0.0067,0.7844,0.0081,1.6267,0.0055
emb_30p_relu_M_relu_standard,0.9698,0.0013,0.8112,0.0017,0.8086,0.0023,1.5997,0.0041
emb_30p_relu_alpha,0.9609,0.0032,0.7872,0.0089,0.7796,0.0102,1.6306,0.0101
emb_30p_relu_standard,0.9698,0.0011,0.8079,0.0042,0.8053,0.0038,1.6034,0.0029
emb_30p_tanh_M_relu_alpha,0.9656,0.0010,0.7983,0.0031,0.7943,0.0022,1.6145,0.0061
emb_30p_tanh_M_relu_standard,0.9696,0.0013,0.8094,0.0058,0.8056,0.0068,1.6031,0.0021
emb_30p_tanh_alpha,0.9638,0.0015,0.7961,0.0050,0.7916,0.0050,1.6167,0.0070
emb_30p_tanh_standard,0.9696,0.0011,0.8103,0.0045,0.8077,0.0043,1.6009,0.0026
emb_69lr_relu_M_relu_alpha,0.9667,0.0018,0.8000,0.0045,0.7975,0.0055,1.6140,0.0055
emb_69lr_relu_M_relu_standard,0.9695,0.0021,0.8104,0.0055,0.8071,0.0044,1.5970,0.0068
emb_69lr_relu_alpha,0.9641,0.0016,0.7957,0.0039,0.7895,0.0040,1.6207,0.0031
emb_69lr_relu_standard,0.9689,0.0011,0.8093,0.0055,0.8055,0.0059,1.6017,0.0069
emb_69lr_tanh_M_relu_alpha,0.9664,0.0006,0.8063,0.0037,0.8026,0.0046,1.6071,0.0068
emb_69lr_tanh_M_relu_standard,0.9698,0.0016,0.8118,0.0057,0.8081,0.0058,1.6021,0.0059
emb_69lr_tanh_alpha,0.9660,0.0015,0.8022,0.0046,0.7974,0.0050,1.6112,0.0028
emb_69lr_tanh_standard,0.9694,0.0010,0.8106,0.0029,0.8072,0.0029,1.5992,0.0042
emb_71tlr_relu_M_relu_alpha,0.9670,0.0018,0.8034,0.0046,0.8006,0.0040,1.6106,0.0059
emb_71tlr_relu_M_relu_standard,0.9700,0.0008,0.8122,0.0022,0.8089,0.0032,1.5965,0.0016
emb_71tlr_relu_alpha,0.9639,0.0012,0.7956,0.0036,0.7899,0.0046,1.6219,0.0042
emb_71tlr_relu_standard,0.9691,0.0007,0.8092,0.0036,0.8064,0.0027,1.6024,0.0045
emb_71tlr_tanh_M_relu_alpha,0.9664,0.0017,0.8034,0.0040,0.8021,0.0038,1.6081,0.0050
emb_71tlr_tanh_M_relu_standard,0.9698,0.0015,0.8105,0.0056,0.8077,0.0058,1.6000,0.0037
emb_71tlr_tanh_alpha,0.9658,0.0012,0.8034,0.0023,0.8003,0.0028,1.6074,0.0020
emb_71tlr_tanh_standard,0.9693,0.0016,0.8078,0.0058,0.8044,0.0055,1.6038,0.0064
