,trainning_time,average_epochs,time_per_epoch,testing_time
ctrl_114tlr_relu,128.3799,18.0000,6.9772,0.1316
ctrl_114tlr_tanh,137.0329,19.0000,7.0201,0.1481
ctrl_30p_relu,91.3714,18.0000,4.9658,0.1187
ctrl_30p_tanh,120.5614,19.0000,6.1763,0.1323
ctrl_50lr_relu,103.4150,18.0000,5.6204,0.1396
ctrl_50lr_tanh,104.6752,19.0000,5.4976,0.1258
default,80.5319,19.0000,4.1256,0.1149
emb_114tlr_relu_M_relu_alpha,163.0485,19.0000,8.2182,0.2113
emb_114tlr_relu_M_relu_standard,207.3022,20.0000,9.8904,0.2399
emb_114tlr_relu_alpha,122.2969,20.0000,5.9715,0.1439
emb_114tlr_relu_standard,118.4750,19.0000,5.9715,0.1436
emb_114tlr_tanh_M_relu_alpha,147.0173,18.0000,7.9212,0.2086
emb_114tlr_tanh_M_relu_standard,196.1223,19.0000,10.0472,0.2260
emb_114tlr_tanh_alpha,107.4376,18.0000,5.8390,0.1401
emb_114tlr_tanh_standard,114.7483,19.0000,5.9765,0.1455
emb_30p_relu_M_relu_alpha,106.5524,19.0000,5.5496,0.1568
emb_30p_relu_M_relu_standard,132.3752,19.0000,6.7264,0.1703
emb_30p_relu_alpha,93.7144,19.0000,4.7619,0.1275
emb_30p_relu_standard,103.5299,20.0000,5.1765,0.1435
emb_30p_tanh_M_relu_alpha,102.9459,19.0000,5.4068,0.1546
emb_30p_tanh_M_relu_standard,128.6132,19.0000,6.5888,0.1726
emb_30p_tanh_alpha,87.4678,18.0000,4.7537,0.1278
emb_30p_tanh_standard,92.8181,19.0000,4.8749,0.1326
emb_50lr_relu_M_relu_alpha,124.0898,19.0000,6.4630,0.1700
emb_50lr_relu_M_relu_standard,139.5436,20.0000,6.9772,0.1779
emb_50lr_relu_alpha,100.9380,20.0000,5.0469,0.1260
emb_50lr_relu_standard,99.8608,19.0000,5.0333,0.1240
emb_50lr_tanh_M_relu_alpha,144.4807,18.0000,7.6526,0.1963
emb_50lr_tanh_M_relu_standard,113.0371,19.0000,5.8387,0.1558
emb_50lr_tanh_alpha,91.8756,18.0000,4.9932,0.1245
emb_50lr_tanh_standard,94.6579,18.0000,5.0565,0.1255
