embedding-model,CA-MSE,OT-AUC,HI-AUC,AD-AUC,CH-AUC,FB-MSE,HO-MSE,CO-AUC,GE-AUC,SA-AUC
default,0.0682,0.9541,0.7392,0.8972,0.8568,0.0115,0.0483,0.9953,0.7954,0.8575
l-FR,0.0576,0.9614,0.7286,0.9042,0.855,0.0115,0.0481,0.9953,0.7895,0.8552
l-FT,0.0618,0.9643,0.7489,0.9032,0.8553,0.0113,0.0493,0.9913,0.7924,0.855
l-LR-s,0.0596,0.969,0.5,0.91,0.8577,0.0104,0.0527,0.9918,0.6905,0.8737
l-LR-a,0.1526,0.9624,0.5429,0.9027,0.845,0.011,0.0508,0.9958,0.7714,0.8848
l-LT-s,0.0607,0.9695,0.5579,0.9083,0.8529,0.011,0.0535,0.9957,0.6255,0.8556
l-LT-a,0.0478,0.9589,0.7512,0.9118,0.8487,0.0098,0.0457,0.9719,0.8055,0.8944
l-LRLR-s,0.0567,0.9673,0.6845,0.9103,0.8604,0.0103,0.047,0.9964,0.7955,0.8963
l-LRLR-a,0.0525,0.9634,0.6766,0.9129,0.8555,0.0095,0.0448,0.9975,0.7891,0.8956
l-LTLR-s,0.0584,0.9671,0.7416,0.9115,0.8548,0.0103,0.0469,0.9966,0.7817,0.8911
l-LTLR-a,0.0501,0.9644,0.7944,0.914,0.854,0.0091,0.0442,0.9969,0.8102,0.8978
t-FR,0.0587,0.9633,0.7321,0.9024,0.8556,0.0115,0.0485,0.9958,0.7891,0.8521
t-FT,0.06,0.9643,0.7555,0.9051,0.8593,0.0112,0.0495,0.9942,0.7923,0.8551
t-LR-s,0.0586,0.9646,0.5,0.9086,0.8562,0.0104,0.0499,0.9964,0.7147,0.8936
t-LR-a,0.0667,0.9595,0.4999,0.8944,0.8505,0.0108,0.0509,0.9966,0.7712,0.8847
t-LT-s,0.0614,0.9669,0.5,0.9082,0.853,0.0106,0.051,0.9964,0.7582,0.8534
t-LT-a,0.0512,0.9576,0.7718,0.9124,0.8484,0.0094,0.05,0.9958,0.8052,0.8933
t-LRLR-s,0.0577,0.9667,0.579,0.911,0.859,0.0103,0.0472,0.9965,0.7792,0.8963
t-LRLR-a,0.0535,0.9677,0.7966,0.9141,0.8528,0.0088,0.0454,0.9971,0.79,0.8956
t-LTLR-s,0.0582,0.9667,0.6354,0.9113,0.8563,0.0103,0.0473,0.9965,0.7821,0.8909
t-LTLR-a,0.0502,0.9691,0.7966,0.9139,0.8533,0.0088,0.0448,0.9974,0.8103,0.8976
p-FR,0.0575,0.9608,0.7296,0.9027,0.8544,0.0115,0.0483,0.9957,0.7932,0.852
p-FT,0.0578,0.9632,0.7584,0.9029,0.859,0.0117,0.0486,0.9925,0.7947,0.8549
p-LR-s,0.0577,0.9663,0.5554,0.9101,0.864,0.0108,0.0495,0.9925,0.7746,0.8927
p-LR-a,0.0637,0.9606,0.7132,0.9099,0.8519,0.0108,0.052,0.9967,0.7745,0.8815
p-LT-s,0.0591,0.9686,0.5,0.9085,0.8615,0.0108,0.0508,0.9956,0.7827,0.8601
p-LT-a,0.0497,0.9589,0.7619,0.911,0.849,0.0098,0.0526,0.9839,0.8052,0.8926
p-LRLR-s,0.0584,0.9678,0.5,0.9096,0.8611,0.0099,0.05,0.9962,0.6181,0.8932
p-LRLR-a,0.0521,0.9635,0.799,0.9117,0.8562,0.0101,0.0481,0.997,0.8013,0.8957
p-LTLR-s,0.0566,0.9658,0.6681,0.9097,0.8574,0.01,0.0493,0.996,0.7955,0.8958
p-LTLR-a,0.0525,0.9664,0.7987,0.9125,0.8538,0.0096,0.0492,0.9969,0.8099,0.8948
