,fb-comments-epochs,house-epochs,santander-epochs,churn-epochs,california-epochs,otto-epochs,adult-epochs,covtype-epochs,gesture-epochs,higgs-small-epochs
p-FR,104.0000,65.0000,18.0000,27.0000,84.0000,79.0000,76.0000,101.0000,33.0000,40.0000
p-FT,74.0000,62.0000,18.0000,28.0000,99.0000,47.0000,57.0000,55.0000,29.0000,74.0000
t-FR,96.0000,58.0000,18.0000,25.0000,79.0000,95.0000,75.0000,98.0000,31.0000,40.0000
t-FT,95.0000,48.0000,18.0000,31.0000,93.0000,54.0000,84.0000,65.0000,29.0000,75.0000
l-FR,91.0000,72.0000,18.0000,24.0000,83.0000,75.0000,83.0000,109.0000,32.0000,40.0000
l-FT,84.0000,54.0000,18.0000,28.0000,84.0000,51.0000,67.0000,48.0000,27.0000,75.0000
default,113.0000,63.0000,20.0000,38.0000,94.0000,89.0000,62.0000,100.0000,31.0000,54.0000
t-LRLR-a,49.0000,41.0000,24.0000,28.0000,65.0000,29.0000,37.0000,115.0000,27.0000,48.0000
t-LRLR-s,84.0000,142.0000,83.0000,67.0000,107.0000,83.0000,52.0000,147.0000,57.0000,36.0000
t-LTLR-a,57.0000,45.0000,23.0000,26.0000,50.0000,28.0000,30.0000,80.0000,28.0000,46.0000
t-LTLR-s,67.0000,86.0000,42.0000,37.0000,81.0000,72.0000,45.0000,99.0000,50.0000,42.0000
p-LRLR-a,64.0000,47.0000,27.0000,27.0000,65.0000,37.0000,37.0000,101.0000,33.0000,56.0000
p-LRLR-s,126.0000,141.0000,87.0000,67.0000,90.0000,90.0000,50.0000,129.0000,41.0000,23.0000
p-LR-a,82.0000,53.0000,26.0000,44.0000,79.0000,30.0000,44.0000,181.0000,54.0000,116.0000
p-LR-s,105.0000,106.0000,93.0000,85.0000,117.0000,216.0000,56.0000,207.0000,78.0000,44.0000
p-LTLR-a,56.0000,46.0000,26.0000,26.0000,51.0000,33.0000,34.0000,74.0000,28.0000,63.0000
p-LTLR-s,104.0000,106.0000,99.0000,50.0000,97.0000,74.0000,45.0000,122.0000,41.0000,50.0000
p-LT-a,72.0000,35.0000,22.0000,22.0000,74.0000,94.0000,38.0000,46.0000,61.0000,30.0000
p-LT-s,116.0000,78.0000,41.0000,79.0000,89.0000,240.0000,51.0000,124.0000,109.0000,32.0000
t-LR-a,108.0000,54.0000,51.0000,39.0000,87.0000,36.0000,89.0000,160.0000,77.0000,34.0000
t-LR-s,149.0000,104.0000,98.0000,51.0000,116.0000,207.0000,63.0000,164.0000,62.0000,24.0000
t-LT-a,70.0000,35.0000,22.0000,21.0000,80.0000,109.0000,51.0000,224.0000,66.0000,37.0000
t-LT-s,144.0000,93.0000,39.0000,50.0000,98.0000,240.0000,71.0000,129.0000,75.0000,26.0000
l-LR-a,127.0000,60.0000,55.0000,43.0000,92.0000,27.0000,74.0000,228.0000,67.0000,29.0000
l-LR-s,162.0000,108.0000,57.0000,64.0000,116.0000,235.0000,66.0000,216.0000,60.0000,25.0000
l-LT-a,71.0000,43.0000,27.0000,23.0000,86.0000,81.0000,43.0000,34.0000,59.0000,41.0000
l-LT-s,94.0000,95.0000,32.0000,50.0000,96.0000,240.0000,64.0000,156.0000,37.0000,48.0000
l-LRLR-a,50.0000,39.0000,26.0000,34.0000,62.0000,59.0000,36.0000,128.0000,27.0000,61.0000
l-LRLR-s,80.0000,135.0000,92.0000,60.0000,101.0000,121.0000,50.0000,134.0000,54.0000,60.0000
l-LTLR-a,51.0000,44.0000,22.0000,24.0000,58.0000,46.0000,35.0000,79.0000,26.0000,59.0000
l-LTLR-s,81.0000,89.0000,45.0000,42.0000,86.0000,127.0000,48.0000,124.0000,49.0000,74.0000
