,trainning_time,average_epochs,time_per_epoch,testing_time
emb_69tlr_relu_alpha,10.0420,51.0000,0.1949,0.0059
emb_69tlr_relu_standard,21.6589,113.0000,0.1907,0.0052
emb_69tlr_tanh_alpha,18.3100,91.0000,0.1994,0.0062
emb_69tlr_tanh_standard,24.8720,126.0000,0.1968,0.0052
emb_71tlrlr_relu_M_relu_alpha,15.3576,55.0000,0.2782,0.0089
emb_71tlrlr_relu_M_relu_standard,40.6561,146.0000,0.2771,0.0091
emb_71tlrlr_tanh_M_relu_alpha,13.3953,47.0000,0.2809,0.0090
emb_71tlrlr_tanh_M_relu_standard,32.4157,117.0000,0.2760,0.0089
emb_78lr_relu_alpha,20.7645,81.0000,0.2540,0.0064
emb_78lr_relu_standard,35.7190,140.0000,0.2537,0.0065
emb_78lr_tanh_alpha,16.1403,63.0000,0.2560,0.0064
emb_78lr_tanh_standard,30.8078,120.0000,0.2554,0.0065
emb_93lrlr_relu_M_relu_alpha,14.9680,65.0000,0.2271,0.0072
emb_93lrlr_relu_M_relu_standard,39.3231,174.0000,0.2259,0.0072
emb_93lrlr_tanh_M_relu_alpha,12.6636,56.0000,0.2255,0.0072
emb_93lrlr_tanh_M_relu_standard,31.1280,138.0000,0.2244,0.0072
