,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
emb_111lrlr_relu_M_relu_alpha,0.2012,0.0035,0.8997,0.0034,0.9253,0.0015,0.9253,0.0015
emb_111lrlr_relu_M_relu_standard,0.2224,0.0445,0.8770,0.0487,0.9198,0.0101,0.9198,0.0101
emb_111lrlr_tanh_M_relu_alpha,0.1994,0.0020,0.9028,0.0017,0.9254,0.0012,0.9254,0.0012
emb_111lrlr_tanh_M_relu_standard,0.2039,0.0029,0.8966,0.0039,0.9241,0.0015,0.9241,0.0015
emb_59tlr_relu_alpha,0.2083,0.0033,0.8922,0.0052,0.9223,0.0009,0.9223,0.0009
emb_59tlr_relu_standard,0.2063,0.0023,0.8946,0.0036,0.9226,0.0008,0.9226,0.0008
emb_59tlr_tanh_alpha,0.2066,0.0018,0.8946,0.0034,0.9228,0.0009,0.9228,0.0009
emb_59tlr_tanh_standard,0.2186,0.0072,0.8790,0.0092,0.9190,0.0020,0.9190,0.0020
emb_91tlrlr_relu_M_relu_alpha,0.2087,0.0125,0.8977,0.0063,0.9224,0.0042,0.9224,0.0042
emb_91tlrlr_relu_M_relu_standard,0.2105,0.0077,0.8909,0.0068,0.9214,0.0036,0.9214,0.0036
emb_91tlrlr_tanh_M_relu_alpha,0.1975,0.0056,0.9054,0.0079,0.9265,0.0018,0.9265,0.0018
emb_91tlrlr_tanh_M_relu_standard,0.2115,0.0112,0.8906,0.0121,0.9216,0.0033,0.9216,0.0033
emb_95lr_relu_alpha,0.2101,0.0046,0.8896,0.0063,0.9218,0.0014,0.9218,0.0014
emb_95lr_relu_standard,0.2069,0.0036,0.8940,0.0045,0.9226,0.0014,0.9226,0.0014
emb_95lr_tanh_alpha,0.2055,0.0023,0.8955,0.0038,0.9236,0.0009,0.9236,0.0009
emb_95lr_tanh_standard,0.2422,0.0259,0.8618,0.0048,0.9123,0.0064,0.9123,0.0064
