,adult-epochs,covtype-epochs,higgs-small-epochs,churn-epochs,otto-epochs,house-epochs,california-epochs,santander-epochs,gesture-epochs,fb-comments-epochs
l-LR-a,55.0000,227.0000,82.0000,65.0000,93.0000,100.0000,157.0000,59.0000,140.0000,120.0000
l-LR-r,35.0000,174.0000,57.0000,55.0000,92.0000,137.0000,179.0000,45.0000,82.0000,70.0000
l-LR-s,47.0000,240.0000,102.0000,56.0000,214.0000,194.0000,179.0000,61.0000,138.0000,83.0000
l-LT-a,28.0000,44.0000,26.0000,25.0000,33.0000,73.0000,90.0000,25.0000,37.0000,38.0000
l-LT-r,36.0000,190.0000,57.0000,50.0000,97.0000,160.0000,148.0000,46.0000,92.0000,73.0000
l-LT-s,36.0000,205.0000,105.0000,72.0000,190.0000,133.0000,152.0000,82.0000,144.0000,78.0000
t-LR-a,88.0000,215.0000,91.0000,50.0000,157.0000,131.0000,114.0000,76.0000,139.0000,102.0000
t-LR-r,72.0000,168.0000,45.0000,34.0000,127.0000,129.0000,71.0000,100.0000,139.0000,70.0000
t-LR-s,97.0000,199.0000,94.0000,36.0000,211.0000,187.0000,93.0000,90.0000,196.0000,91.0000
t-LT-a,45.0000,43.0000,26.0000,33.0000,40.0000,61.0000,56.0000,32.0000,55.0000,45.0000
t-LT-r,68.0000,162.0000,48.0000,39.0000,132.0000,125.0000,77.0000,87.0000,154.0000,81.0000
t-LT-s,57.0000,222.0000,90.0000,60.0000,223.0000,196.0000,77.0000,95.0000,147.0000,104.0000
