,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
emb_192lr_relu_alpha,0.2860,0.0102,0.9235,0.0055,0.8664,0.0037,0.8664,0.0037
emb_192lr_relu_rtdl,0.2921,0.0055,0.9205,0.0029,0.8649,0.0019,0.8649,0.0019
emb_192lr_relu_standard,0.2969,0.0047,0.9185,0.0020,0.8621,0.0017,0.8621,0.0017
emb_192lr_tanh_alpha,0.2900,0.0097,0.9224,0.0046,0.8653,0.0058,0.8653,0.0058
emb_192lr_tanh_rtdl,0.2939,0.0048,0.9194,0.0025,0.8634,0.0024,0.8634,0.0024
emb_192lr_tanh_standard,0.2967,0.0073,0.9185,0.0043,0.8620,0.0027,0.8620,0.0027
emb_328tlr_relu_alpha,0.2953,0.0050,0.9189,0.0025,0.8633,0.0030,0.8633,0.0030
emb_328tlr_relu_rtdl,0.3016,0.0048,0.9158,0.0026,0.8593,0.0017,0.8593,0.0017
emb_328tlr_relu_standard,0.2984,0.0030,0.9177,0.0014,0.8612,0.0020,0.8612,0.0020
emb_328tlr_tanh_alpha,0.2832,0.0047,0.9259,0.0018,0.8691,0.0013,0.8691,0.0013
emb_328tlr_tanh_rtdl,0.3032,0.0043,0.9144,0.0022,0.8591,0.0019,0.8591,0.0019
emb_328tlr_tanh_standard,0.3044,0.0086,0.9145,0.0038,0.8579,0.0033,0.8579,0.0033
