,trainning_time,average_epochs,time_per_epoch,testing_time
emb_176lr_relu_alpha,128.9035,157.0000,0.8171,0.0239
emb_176lr_relu_rtdl,147.7046,179.0000,0.8220,0.0240
emb_176lr_relu_standard,147.2177,179.0000,0.8215,0.0237
emb_176lr_tanh_alpha,74.5158,90.0000,0.8214,0.0240
emb_176lr_tanh_rtdl,154.8418,148.0000,1.0417,0.0211
emb_176lr_tanh_standard,124.9221,152.0000,0.8210,0.0240
emb_472tlr_relu_alpha,149.9042,114.0000,1.3140,0.0550
emb_472tlr_relu_rtdl,92.3006,71.0000,1.2993,0.0568
emb_472tlr_relu_standard,121.4057,93.0000,1.2971,0.0547
emb_472tlr_tanh_alpha,73.4826,56.0000,1.3122,0.0557
emb_472tlr_tanh_rtdl,115.2220,77.0000,1.4787,0.0536
emb_472tlr_tanh_standard,101.1660,77.0000,1.3118,0.0559
