,trainning_time,average_epochs,time_per_epoch,testing_time
emb_288lr_relu_alpha,12452.0446,227.0000,54.8350,2.4750
emb_288lr_relu_rtdl,9449.1402,174.0000,54.1211,2.4783
emb_288lr_relu_standard,13150.5965,240.0000,54.7840,2.4732
emb_288lr_tanh_alpha,2435.5683,44.0000,54.7463,2.4324
emb_288lr_tanh_rtdl,10435.9465,190.0000,54.7544,2.4737
emb_288lr_tanh_standard,11285.1359,205.0000,54.9213,2.4654
emb_320tlr_relu_alpha,12197.8589,215.0000,56.7131,2.7841
emb_320tlr_relu_rtdl,9582.7873,168.0000,56.7595,2.7791
emb_320tlr_relu_standard,11323.3161,199.0000,56.8334,2.7792
emb_320tlr_tanh_alpha,2445.6565,43.0000,56.8123,2.7474
emb_320tlr_tanh_rtdl,9348.3883,162.0000,57.4966,2.7803
emb_320tlr_tanh_standard,12822.7702,222.0000,57.5215,2.7686
