,trainning_time,average_epochs,time_per_epoch,testing_time
emb_296lr_relu_alpha,2014.8859,120.0000,16.7427,0.7589
emb_296lr_relu_rtdl,1192.6628,70.0000,16.9378,0.7590
emb_296lr_relu_standard,1408.4914,83.0000,16.7963,0.7599
emb_296lr_tanh_alpha,656.8416,38.0000,16.8906,0.7597
emb_296lr_tanh_rtdl,1234.0164,73.0000,16.7631,0.7580
emb_296lr_tanh_standard,1309.0091,78.0000,16.7273,0.7578
emb_432tlr_relu_alpha,2874.9338,102.0000,27.9389,1.4279
emb_432tlr_relu_rtdl,1977.9874,70.0000,28.0270,1.4327
emb_432tlr_relu_standard,2544.8975,91.0000,27.8989,1.4259
emb_432tlr_tanh_alpha,1273.9377,45.0000,27.9316,1.4303
emb_432tlr_tanh_rtdl,2269.5682,81.0000,27.9172,1.4291
emb_432tlr_tanh_standard,2910.9806,104.0000,27.8987,1.4271
