,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std,Log Loss - mean,Log Loss - std
emb_288lr_relu_alpha,0.8258,0.0164,0.5746,0.0222,0.5574,0.0237,1.3976,0.0162
emb_288lr_relu_rtdl,0.8865,0.0415,0.6905,0.0682,0.6832,0.0702,1.2843,0.0465
emb_288lr_relu_standard,0.7812,0.0193,0.5108,0.0255,0.4716,0.0369,1.4394,0.0260
emb_288lr_tanh_alpha,0.8446,0.0463,0.6132,0.0745,0.6033,0.0772,1.3448,0.0500
emb_288lr_tanh_rtdl,0.8501,0.0093,0.6425,0.0192,0.6339,0.0214,1.3131,0.0194
emb_288lr_tanh_standard,0.8426,0.0479,0.6009,0.0689,0.5836,0.0759,1.3727,0.0545
emb_512tlr_relu_alpha,0.8028,0.0228,0.5410,0.0355,0.5085,0.0499,1.4241,0.0231
emb_512tlr_relu_rtdl,0.8026,0.0423,0.5449,0.0658,0.5149,0.0786,1.3989,0.0483
emb_512tlr_relu_standard,0.7639,0.0277,0.4944,0.0304,0.4417,0.0596,1.4606,0.0277
emb_512tlr_tanh_alpha,0.8718,0.0383,0.6476,0.0520,0.6365,0.0584,1.3217,0.0382
emb_512tlr_tanh_rtdl,0.8470,0.0116,0.6254,0.0214,0.6151,0.0234,1.3211,0.0226
emb_512tlr_tanh_standard,0.7797,0.0075,0.5066,0.0173,0.4692,0.0239,1.4477,0.0174
