,Log Loss - mean,Log Loss - std,AUC - mean,AUC - std,Accuracy - mean,Accuracy - std,F1 score - mean,F1 score - std
emb_280lr_relu_alpha,0.5350,0.0028,0.8070,0.0024,0.7271,0.0027,0.7271,0.0027
emb_280lr_relu_rtdl,0.5327,0.0037,0.8093,0.0027,0.7297,0.0019,0.7297,0.0019
emb_280lr_relu_standard,0.5442,0.0075,0.7967,0.0067,0.7190,0.0049,0.7190,0.0049
emb_280lr_tanh_alpha,0.5408,0.0048,0.8015,0.0039,0.7228,0.0037,0.7228,0.0037
emb_280lr_tanh_rtdl,0.5339,0.0043,0.8069,0.0037,0.7287,0.0033,0.7287,0.0033
emb_280lr_tanh_standard,0.5496,0.0034,0.7930,0.0026,0.7168,0.0029,0.7168,0.0029
emb_440tlr_relu_alpha,0.5474,0.0132,0.7957,0.0097,0.7184,0.0081,0.7184,0.0081
emb_440tlr_relu_rtdl,0.5331,0.0027,0.8074,0.0028,0.7286,0.0026,0.7286,0.0026
emb_440tlr_relu_standard,0.5532,0.0033,0.7883,0.0029,0.7128,0.0029,0.7128,0.0029
emb_440tlr_tanh_alpha,0.5399,0.0042,0.8040,0.0044,0.7249,0.0036,0.7249,0.0036
emb_440tlr_tanh_rtdl,0.5339,0.0030,0.8082,0.0019,0.7310,0.0025,0.7310,0.0025
emb_440tlr_tanh_standard,0.5495,0.0031,0.7917,0.0039,0.7165,0.0036,0.7165,0.0036
