,MSE - mean,MSE - std,RMSE - mean,RMSE - std,R2 - mean,R2 - std
emb_200tlr_relu_alpha,0.0460,0.0120,0.2130,0.0261,0.7113,0.0653
emb_200tlr_relu_rtdl,0.0478,0.0058,0.2183,0.0130,0.6986,0.0327
emb_200tlr_relu_standard,0.0773,0.0464,0.2676,0.0756,0.5228,0.2653
emb_200tlr_tanh_alpha,0.0313,0.0103,0.1749,0.0267,0.8012,0.0709
emb_200tlr_tanh_rtdl,0.0466,0.0022,0.2158,0.0051,0.7060,0.0142
emb_200tlr_tanh_standard,0.0730,0.0296,0.2651,0.0525,0.5412,0.1857
emb_280lr_relu_alpha,0.0474,0.0075,0.2171,0.0167,0.7020,0.0393
emb_280lr_relu_rtdl,0.0604,0.0157,0.2440,0.0295,0.6215,0.0845
emb_280lr_relu_standard,0.0848,0.0383,0.2851,0.0595,0.4688,0.2249
emb_280lr_tanh_alpha,0.0476,0.0029,0.2180,0.0066,0.6997,0.0202
emb_280lr_tanh_rtdl,0.0502,0.0037,0.2239,0.0082,0.6827,0.0298
emb_280lr_tanh_standard,0.0574,0.0159,0.2375,0.0312,0.6414,0.0843
